skey|gugun|rate_year|dong_cnt|house_cnt|tot_pop_cnt|m_pop_cnt|f_pop_cnt|pop_ratio|pop_density|instt_code|last_load_dttm
19657|부산광역시 영도구|2020-10|11|54876|115852|57322|58530|3.4|8159|6260000|2022-07-01 05:57:03
19658|부산광역시 부산진구|2020-10|20|171637|361172|174403|186769|10.5|12173|6260000|2022-07-01 05:57:03
19659|부산광역시 동래구|2020-10|13|114739|272863|132690|140173|7.9|16408|6260000|2022-07-01 05:57:03
19660|부산광역시 남구|2020-10|17|117685|274232|134335|139897|8|10225|6260000|2022-07-01 05:57:03
19661|부산광역시 북구|2020-10|13|120604|287867|142378|145489|8.4|7312|6260000|2022-07-01 05:57:03
19662|부산광역시 해운대구|2020-10|18|170815|407492|196181|211311|11.8|7917|6260000|2022-07-01 05:57:03
19663|부산광역시 사하구|2020-10|16|138879|318206|158944|159262|9.2|7618|6260000|2022-07-01 05:57:03
19664|부산광역시 금정구|2020-10|16|107345|237536|115637|121899|6.9|3639|6260000|2022-07-01 05:57:03
19665|부산광역시 강서구|2020-10|8|57341|141418|74572|66846|4.1|779|6260000|2022-07-01 05:57:03
19666|부산광역시 연제구|2020-10|12|92475|211175|101675|109500|6.1|17452|6260000|2022-07-01 05:57:03
19667|부산광역시 수영구|2020-10|10|83941|178782|84459|94323|5.2|17510|6260000|2022-07-01 05:57:03
19668|부산광역시 사상구|2020-10|12|97343|218362|110555|107807|6.3|6050|6260000|2022-07-01 05:57:03
19669|부산광역시 기장군|2020-10|5|73915|175261|87136|88125|5.1|803|6260000|2022-07-01 05:57:03
19670|부산광역시|2020-11|205|1527721|3442633|1688633|1754000|100|4471|6260000|2022-07-01 05:57:03
19671|부산광역시 중구|2020-11|9|23773|43571|21609|21962|1.3|15396|6260000|2022-07-01 05:57:03
19672|부산광역시 서구|2020-11|13|53724|110027|53535|56492|3.2|7870|6260000|2022-07-01 05:57:03
19673|부산광역시 동구|2020-11|12|46003|91194|44619|46575|2.6|9240|6260000|2022-07-01 05:57:03
19674|부산광역시 영도구|2020-11|11|54896|115513|57142|58371|3.4|8135|6260000|2022-07-01 05:57:03
19675|부산광역시 부산진구|2020-11|20|172561|362213|174861|187352|10.5|12208|6260000|2022-07-01 05:57:03
19676|부산광역시 동래구|2020-11|13|114826|272403|132444|139959|7.9|16380|6260000|2022-07-01 05:57:03
19677|부산광역시 남구|2020-11|17|117804|273735|134096|139639|8|10206|6260000|2022-07-01 05:57:03
19678|부산광역시 북구|2020-11|13|120665|287203|142052|145151|8.3|7295|6260000|2022-07-01 05:57:03
19679|부산광역시 해운대구|2020-11|18|171099|407182|196040|211142|11.8|7911|6260000|2022-07-01 05:57:03
19680|부산광역시 사하구|2020-11|16|138906|317333|158470|158863|9.2|7597|6260000|2022-07-01 05:57:03
19681|부산광역시 금정구|2020-11|16|107491|237153|115433|121720|6.9|3633|6260000|2022-07-01 05:57:03
19682|부산광역시 강서구|2020-11|8|57690|142064|74866|67198|4.1|783|6260000|2022-07-01 05:57:03
19683|부산광역시 연제구|2020-11|12|92535|210666|101381|109285|6.1|17410|6260000|2022-07-01 05:57:03
19684|부산광역시 수영구|2020-11|10|84049|178576|84335|94241|5.2|17490|6260000|2022-07-01 05:57:03
19685|부산광역시 사상구|2020-11|12|97419|217787|110221|107566|6.3|6035|6260000|2022-07-01 05:57:03
19686|부산광역시 기장군|2020-11|5|74280|176013|87529|88484|5.1|806|6260000|2022-07-01 05:57:03
19497|부산광역시 중구|2015|9|23295|47530|23598|23932|1.3|16795|6260000|2022-07-01 05:57:03
19498|부산광역시 중구|2016|9|23282|47117|23414|23703|1.3|16649|6260000|2022-07-01 05:57:03
19499|부산광역시 중구|2017|9|23284|46066|22843|23223|1.3|16278|6260000|2022-07-01 05:57:03
19500|부산광역시 서구|2007|14|52275|133666|66481|67185|3.7|9735|6260000|2022-07-01 05:57:03
19501|부산광역시 서구|2008|14|51755|130402|64889|65513|3.63|9423|6260000|2022-07-01 05:57:03
19502|부산광역시 서구|2009|13|51490|126811|63146|63665|3.55|9156|6260000|2022-07-01 05:57:03
19503|부산광역시 서구|2010|13|53783|127068|63132|63936|3.53|9155|6260000|2022-07-01 05:57:03
19504|부산광역시 서구|2011|13|53585|124824|61943|62881|3.48|8993|6260000|2022-07-01 05:57:03
19505|부산광역시 서구|2012|13|53138|122040|60585|61455|3.42|8793|6260000|2022-07-01 05:57:03
19506|부산광역시 서구|2013|13|53031|120044|59544|60500|3.37|8618|6260000|2022-07-01 05:57:03
19507|부산광역시 서구|2014|13|53417|119506|59122|60384|3.36|8579|6260000|2022-07-01 05:57:03
19508|부산광역시 서구|2015|13|53199|117608|58075|59533|3.3|8443|6260000|2022-07-01 05:57:03
19509|부산광역시 서구|2017|13|51953|111945|55081|56864|3.2|8008|6260000|2022-07-01 05:57:03
19510|부산광역시 동구|2007|17|42202|105970|52942|53028|2.93|10835|6260000|2022-07-01 05:57:03
19511|부산광역시 동구|2008|14|42197|103983|51995|51988|2.89|10634|6260000|2022-07-01 05:57:03
19512|부산광역시 동구|2009|14|42297|102440|51141|51299|2.87|10474|6260000|2022-07-01 05:57:03
19513|부산광역시 동구|2010|14|44018|102859|51209|51650|2.86|10517|6260000|2022-07-01 05:57:03
19514|부산광역시 동구|2011|14|44192|101845|50662|51183|2.84|10467|6260000|2022-07-01 05:57:03
19515|부산광역시 동구|2012|14|43859|99907|49576|50331|2.8|10268|6260000|2022-07-01 05:57:03
19516|부산광역시 동구|2013|14|43528|97450|48355|49095|2.73|10015|6260000|2022-07-01 05:57:03
19517|부산광역시 동구|2014|14|43728|96017|47523|48494|2.7|9868|6260000|2022-07-01 05:57:03
19518|부산광역시 동구|2015|13|43430|93877|46403|47474|2.6|9638|6260000|2022-07-01 05:57:03
19519|부산광역시 동구|2016|12|43036|91807|45377|46430|2.6|9426|6260000|2022-07-01 05:57:03
19520|부산광역시 동구|2017|12|43413|90856|44786|46070|2.6|9328|6260000|2022-07-01 05:57:03
19521|부산광역시 영도구|2007|11|57914|156661|78466|78195|4.33|11158|6260000|2022-07-01 05:57:03
19522|부산광역시 영도구|2008|11|57948|153802|77012|76790|4.28|10908|6260000|2022-07-01 05:57:03
19523|부산광역시 영도구|2009|11|57651|149787|74937|74850|4.19|10601|6260000|2022-07-01 05:57:03
19524|부산광역시 영도구|2010|11|59147|148431|74259|74172|4.12|10505|6260000|2022-07-01 05:57:03
19525|부산광역시 영도구|2011|11|58584|144884|72409|72475|4.04|10254|6260000|2022-07-01 05:57:03
19526|부산광역시 영도구|2012|11|57900|141422|70643|70779|3.96|10009|6260000|2022-07-01 05:57:03
19527|부산광역시 영도구|2013|11|57277|137437|68619|68818|3.86|9727|6260000|2022-07-01 05:57:03
19528|부산광역시 영도구|2014|11|56580|133750|66691|67059|3.76|9452|6260000|2022-07-01 05:57:03
19529|부산광역시 영도구|2015|11|56446|131251|65359|65892|3.7|9276|6260000|2022-07-01 05:57:03
19530|부산광역시 영도구|2016|11|55893|128259|63775|64484|3.6|9039|6260000|2022-07-01 05:57:03
19531|부산광역시 영도구|2017|11|55713|125347|62284|63063|3.6|8833|6260000|2022-07-01 05:57:03
19532|부산광역시 부산진구|2007|25|151256|404331|200609|203722|11.18|13623|6260000|2022-07-01 05:57:03
19533|부산광역시 부산진구|2008|25|152942|402942|199531|203411|11.21|13573|6260000|2022-07-01 05:57:03
19534|부산광역시 부산진구|2009|25|153413|398101|196892|201209|11.14|13409|6260000|2022-07-01 05:57:03
19535|부산광역시 부산진구|2010|25|158253|398174|196864|201310|11.06|13411|6260000|2022-07-01 05:57:03
19536|부산광역시 부산진구|2011|25|159915|397411|196205|201206|11.08|13385|6260000|2022-07-01 05:57:03
19537|부산광역시 부산진구|2012|25|160699|395032|194777|200255|11.05|13305|6260000|2022-07-01 05:57:03
19538|부산광역시 부산진구|2013|23|162795|391957|192656|199301|11|13202|6260000|2022-07-01 05:57:03
19539|부산광역시 부산진구|2014|23|165056|389558|190949|198609|10.95|13116|6260000|2022-07-01 05:57:03
19540|부산광역시 부산진구|2015|21|165199|384274|188061|196213|10.8|12939|6260000|2022-07-01 05:57:03
19541|부산광역시 부산진구|2016|20|165238|379309|185245|194064|10.7|12780|6260000|2022-07-01 05:57:03
19542|부산광역시 부산진구|2017|20|166491|374504|182588|191916|10.6|12622|6260000|2022-07-01 05:57:03
19543|부산광역시 동래구|2007|14|99954|285789|141925|143864|7.91|17175|6260000|2022-07-01 05:57:03
19544|부산광역시 사하구|2020-03|16|138864|323758|162020|161738|9.4|7751|6260000|2022-07-01 05:57:03
19545|부산광역시 금정구|2020-03|16|107184|242147|118010|124137|7|3710|6260000|2022-07-01 05:57:03
19546|부산광역시 강서구|2020-03|8|54611|136491|72232|64259|3.9|752|6260000|2022-07-01 05:57:03
19547|부산광역시 연제구|2020-03|12|91106|211385|101999|109386|6.1|17470|6260000|2022-07-01 05:57:03
19548|부산광역시 수영구|2020-03|10|82334|178715|84577|94138|5.2|17504|6260000|2022-07-01 05:57:03
19549|부산광역시 사상구|2020-03|12|96859|221983|112448|109535|6.4|6151|6260000|2022-07-01 05:57:03
19550|부산광역시 기장군|2020-03|5|70686|169797|84487|85310|4.9|778|6260000|2022-07-01 05:57:03
19551|부산광역시|2020-04|205|1507504|3458506|1698525|1759981|100|4491|6260000|2022-07-01 05:57:03
19552|부산광역시 중구|2020-04|9|23313|43931|21791|22140|1.3|15523|6260000|2022-07-01 05:57:03
19553|부산광역시 서구|2020-04|13|52884|109730|53489|56241|3.2|7849|6260000|2022-07-01 05:57:03
19554|부산광역시 동구|2020-04|12|45578|91994|45109|46885|2.7|9321|6260000|2022-07-01 05:57:03
19555|부산광역시 영도구|2020-04|11|54812|117469|58138|59331|3.4|8272|6260000|2022-07-01 05:57:03
19556|부산광역시 부산진구|2020-04|20|168189|359968|173926|186042|10.4|12132|6260000|2022-07-01 05:57:03
19557|부산광역시 동래구|2020-04|13|113547|273819|133324|140495|7.9|16465|6260000|2022-07-01 05:57:03
19558|부산광역시 남구|2020-04|17|117167|277599|136018|141581|8|10350|6260000|2022-07-01 05:57:03
19559|부산광역시 북구|2020-04|13|120449|291527|144265|147262|8.4|7405|6260000|2022-07-01 05:57:03
19560|부산광역시 해운대구|2020-04|18|169357|410242|197838|212404|11.9|7971|6260000|2022-07-01 05:57:03
