skey|gugun|rate_year|dong_cnt|house_cnt|tot_pop_cnt|m_pop_cnt|f_pop_cnt|pop_ratio|pop_density|instt_code|last_load_dttm
19461|부산광역시 연제구|2010|12|80824|213453|105533|107920|5.93|17670|6260000|2022-07-01 05:57:03
19462|부산광역시 연제구|2011|12|82005|214131|105803|108328|5.97|17726|6260000|2022-07-01 05:57:03
19463|부산광역시 연제구|2012|12|82161|212326|104791|107535|5.94|17577|6260000|2022-07-01 05:57:03
19464|부산광역시 연제구|2013|12|82467|210043|103443|106600|5.89|17388|6260000|2022-07-01 05:57:03
19465|부산광역시 연제구|2014|12|83188|208787|102697|106090|5.87|17284|6260000|2022-07-01 05:57:03
19466|부산광역시 연제구|2015|12|84543|211645|103885|107760|5.9|17520|6260000|2022-07-01 05:57:03
19467|부산광역시 연제구|2016|12|84398|208211|101692|106519|5.9|17208|6260000|2022-07-01 05:57:03
19468|부산광역시 연제구|2017|12|85892|207729|100988|106741|5.9|17168|6260000|2022-07-01 05:57:03
19469|부산광역시 수영구|2007|10|65458|179100|86942|92158|4.95|17542|6260000|2022-07-01 05:57:03
19470|부산광역시 수영구|2008|10|65932|178092|86493|91599|4.95|17454|6260000|2022-07-01 05:57:03
19471|부산광역시 수영구|2009|10|66948|178231|86330|91901|4.99|17474|6260000|2022-07-01 05:57:03
19472|부산광역시 수영구|2010|10|69633|179208|86705|92503|4.98|17569|6260000|2022-07-01 05:57:03
19473|부산광역시 수영구|2011|10|70314|177676|85764|91912|4.95|17419|6260000|2022-07-01 05:57:03
19474|부산광역시 수영구|2012|10|71183|177678|85673|92005|4.97|17402|6260000|2022-07-01 05:57:03
19475|부산광역시 수영구|2013|10|71790|176156|84855|91301|4.94|17253|6260000|2022-07-01 05:57:03
19476|부산광역시 수영구|2014|10|74356|179620|86314|93306|5.05|17593|6260000|2022-07-01 05:57:03
19477|부산광역시 수영구|2015|10|76325|181397|86798|94599|5.1|17767|6260000|2022-07-01 05:57:03
19478|부산광역시 수영구|2016|10|77733|181016|86332|94684|5.1|17729|6260000|2022-07-01 05:57:03
19479|부산광역시 서구|2016|13|52497|114752|56611|58141|3.2|8220|6260000|2022-07-01 05:57:03
19480|부산광역시|2007|223|1300692|3615101|1801832|1813269|100|4722|6260000|2022-07-01 05:57:03
19481|부산광역시|2008|217|1311724|3596063|1791273|1804790|100|4695|6260000|2022-07-01 05:57:03
19482|부산광역시|2009|215|1323771|3574340|1778834|1795506|100|4666|6260000|2022-07-01 05:57:03
19483|부산광역시|2010|215|1371346|3600381|1791455|1808926|100|4692|6260000|2022-07-01 05:57:03
19484|부산광역시|2011|214|1381257|3586079|1783378|1802701|100|4667|6260000|2022-07-01 05:57:03
19485|부산광역시|2014|210|1421648|3557716|1762869|1794847|100|4621|6260000|2022-07-01 05:57:03
19486|부산광역시|2015|206|1437818|3559780|1761594|1798186|100|4624|6260000|2022-07-01 05:57:03
19487|부산광역시|2016|205|1451270|3546887|1752465|1794422|100|4607|6260000|2022-07-01 05:57:03
19488|부산광역시|2017|205|1467555|3520306|1736878|1783428|100|4572|6260000|2022-07-01 05:57:03
19489|부산광역시 중구|2007|9|21595|50932|25067|25865|1.41|18190|6260000|2022-07-01 05:57:03
19490|부산광역시 중구|2008|9|21920|50602|24973|25629|1.41|17960|6260000|2022-07-01 05:57:03
19491|부산광역시 중구|2009|9|22064|49983|24805|25178|1.4|17724|6260000|2022-07-01 05:57:03
19492|부산광역시 중구|2010|9|23266|50555|25055|25500|1.4|17927|6260000|2022-07-01 05:57:03
19493|부산광역시 중구|2011|9|23284|49859|24761|25098|1.39|17680|6260000|2022-07-01 05:57:03
19494|부산광역시 중구|2012|9|23309|49407|24540|24867|1.38|17458|6260000|2022-07-01 05:57:03
19495|부산광역시 중구|2013|9|23374|48614|24206|24408|1.36|17178|6260000|2022-07-01 05:57:03
19496|부산광역시 중구|2014|9|23493|48058|23949|24109|1.35|16982|6260000|2022-07-01 05:57:03
19295|부산광역시 사상구|2017|12|96966|235726|119967|115759|6.7|6532|6260000|2022-07-01 05:57:03
19296|부산광역시 기장군|2017|5|63951|161588|80426|81162|4.6|740|6260000|2022-07-01 05:57:03
19297|부산광역시|2017|205|1464626|3532088|1743282|1788806|100|4588|6260000|2022-07-01 05:57:03
19298|부산광역시 중구|2017|9|23333|46538|23072|23466|1.3|16445|6260000|2022-07-01 05:57:03
19299|부산광역시 서구|2017|13|52300|113069|55681|57388|3.2|8099|6260000|2022-07-01 05:57:03
19300|부산광역시 동구|2017|12|43203|90976|44846|46130|2.6|9340|6260000|2022-07-01 05:57:03
19301|부산광역시 영도구|2017|11|55546|125905|62628|63277|3.6|8873|6260000|2022-07-01 05:57:03
19302|부산광역시 부산진구|2017|20|166981|377670|184263|193407|10.7|12725|6260000|2022-07-01 05:57:03
19303|부산광역시 동래구|2017|13|108916|274160|134285|139875|7.8|16486|6260000|2022-07-01 05:57:03
19304|부산광역시 남구|2017|17|113950|280296|137608|142688|7.9|10455|6260000|2022-07-01 05:57:03
19305|부산광역시 북구|2017|13|120701|307947|152739|155208|8.7|7824|6260000|2022-07-01 05:57:03
19306|부산광역시 해운대구|2017|18|165279|419984|203699|216285|11.9|8160|6260000|2022-07-01 05:57:03
19307|부산광역시 사하구|2017|16|137254|338893|169818|169075|9.6|8117|6260000|2022-07-01 05:57:03
19308|부산광역시 금정구|2017|17|103661|247118|121213|125905|7|3786|6260000|2022-07-01 05:57:03
19309|부산광역시 강서구|2017|7|47489|122632|65247|57385|3.5|676|6260000|2022-07-01 05:57:03
19310|부산광역시 연제구|2017|12|85580|208468|101418|107050|5.9|17229|6260000|2022-07-01 05:57:03
19311|부산광역시 수영구|2017|10|78847|180583|86060|94523|5.1|17687|6260000|2022-07-01 05:57:03
19312|부산광역시 사상구|2017|12|97021|235463|119849|115614|6.7|6524|6260000|2022-07-01 05:57:03
19313|부산광역시 기장군|2017|5|64565|162386|80856|81530|4.6|744|6260000|2022-07-01 05:57:03
19314|부산광역시 수영구|2017|10|79788|181725|86570|95155|5.2|17799|6260000|2022-07-01 05:57:03
19315|부산광역시 사상구|2007|14|93477|268880|137100|131780|7.44|7502|6260000|2022-07-01 05:57:03
19316|부산광역시 사상구|2008|12|93480|264685|135083|129602|7.36|7343|6260000|2022-07-01 05:57:03
19317|부산광역시 사상구|2009|12|93149|258975|132146|126829|7.25|7182|6260000|2022-07-01 05:57:03
19318|부산광역시 사상구|2010|12|96873|261673|133857|127816|7.27|7257|6260000|2022-07-01 05:57:03
19319|부산광역시 사상구|2011|12|96840|258515|132392|126123|7.21|7169|6260000|2022-07-01 05:57:03
19320|부산광역시 사상구|2012|12|96373|254377|130016|124361|7.12|7048|6260000|2022-07-01 05:57:03
19321|부산광역시 사상구|2013|12|96636|251014|128337|122677|7.04|6955|6260000|2022-07-01 05:57:03
19322|부산광역시 사상구|2014|12|96915|247364|126248|121116|6.95|6854|6260000|2022-07-01 05:57:03
19323|부산광역시 사상구|2015|12|96671|242671|123744|118927|6.8|6724|6260000|2022-07-01 05:57:03
19324|부산광역시 사상구|2016|12|96403|238108|121250|116858|6.7|6598|6260000|2022-07-01 05:57:03
19325|부산광역시 사상구|2017|12|97169|234624|119308|115316|6.7|6501|6260000|2022-07-01 05:57:03
19326|부산광역시 기장군|2007|5|30378|80438|40539|39899|2.23|369|6260000|2022-07-01 05:57:03
19327|부산광역시 기장군|2008|5|31769|82136|41388|40748|2.28|377|6260000|2022-07-01 05:57:03
19328|부산광역시 기장군|2009|5|35334|90380|45423|44957|2.53|414|6260000|2022-07-01 05:57:03
19329|부산광역시 기장군|2010|5|40664|103762|52082|51680|2.88|476|6260000|2022-07-01 05:57:03
19330|부산광역시 기장군|2011|5|42806|109495|54906|54589|3.05|502|6260000|2022-07-01 05:57:03
19331|부산광역시 기장군|2012|5|45186|116064|58058|58006|3.25|532|6260000|2022-07-01 05:57:03
19332|부산광역시 기장군|2013|5|51840|134060|66760|67300|3.76|614|6260000|2022-07-01 05:57:03
19333|부산광역시 기장군|2014|5|56606|146615|72959|73656|4.12|672|6260000|2022-07-01 05:57:03
19334|부산광역시 기장군|2015|5|60024|155395|77379|78016|4.4|712|6260000|2022-07-01 05:57:03
19335|부산광역시 기장군|2016|5|62810|160888|80018|80870|4.5|737|6260000|2022-07-01 05:57:03
19336|부산광역시 기장군|2017|5|65738|163920|81662|82258|4.7|751|6260000|2022-07-01 05:57:03
19337|부산광역시|2017|205|1452162|3544675|1751037|1793638|100|4604|6260000|2022-07-01 05:57:03
19338|부산광역시 중구|2017|9|23261|47061|23389|23672|1.3|16629|6260000|2022-07-01 05:57:03
19339|부산광역시 서구|2017|13|52426|114400|56399|58001|3.2|8195|6260000|2022-07-01 05:57:03
19340|부산광역시 동구|2017|12|43088|91691|45319|46372|2.6|9414|6260000|2022-07-01 05:57:03
19341|부산광역시 영도구|2017|11|55807|127871|63597|64274|3.6|9011|6260000|2022-07-01 05:57:03
19342|부산광역시 부산진구|2017|20|165261|378743|184961|193782|10.7|12761|6260000|2022-07-01 05:57:03
19343|부산광역시 동래구|2017|13|108179|274586|134648|139938|7.7|16511|6260000|2022-07-01 05:57:03
19344|부산광역시 남구|2017|17|113755|282700|138851|143849|8|10545|6260000|2022-07-01 05:57:03
19345|부산광역시 북구|2017|13|120704|311743|154898|156845|8.8|7920|6260000|2022-07-01 05:57:03
19346|부산광역시 해운대구|2017|18|165314|424532|206120|218412|12|8248|6260000|2022-07-01 05:57:03
19347|부산광역시 사하구|2017|16|135812|339609|170326|169283|9.6|8134|6260000|2022-07-01 05:57:03
19348|부산광역시 금정구|2017|17|102516|248517|121903|126614|7|3808|6260000|2022-07-01 05:57:03
19349|부산광역시 강서구|2017|7|44496|115553|61680|53873|3.3|637|6260000|2022-07-01 05:57:03
19350|부산광역시 연제구|2017|12|84446|208147|101629|106518|5.9|17202|6260000|2022-07-01 05:57:03
19351|부산광역시 수영구|2017|10|77754|180803|86203|94600|5.1|17708|6260000|2022-07-01 05:57:03
19352|부산광역시 사상구|2017|12|96435|237724|121027|116697|6.7|6587|6260000|2022-07-01 05:57:03
19353|부산광역시 기장군|2017|5|62908|160995|80087|80908|4.5|737|6260000|2022-07-01 05:57:03
19354|부산광역시|2017|205|1454891|3542946|1749907|1793039|100|4602|6260000|2022-07-01 05:57:03
19355|부산광역시 중구|2017|9|23287|46989|23340|23649|1.3|16604|6260000|2022-07-01 05:57:03
19356|부산광역시 서구|2017|13|52469|114144|56215|57929|3.2|8177|6260000|2022-07-01 05:57:03
19357|부산광역시 동구|2017|12|43155|91570|45245|46325|2.6|9401|6260000|2022-07-01 05:57:03
19358|부산광역시 영도구|2017|11|55750|127476|63421|64055|3.6|8984|6260000|2022-07-01 05:57:03
19359|부산광역시 부산진구|2017|20|165316|377973|184540|193433|10.7|12735|6260000|2022-07-01 05:57:03
19360|부산광역시 동래구|2017|13|108727|275857|135249|140608|7.8|16588|6260000|2022-07-01 05:57:03
19361|부산광역시 남구|2017|17|113789|282173|138592|143581|8|10525|6260000|2022-07-01 05:57:03
19362|부산광역시 북구|2017|13|120791|311065|154528|156537|8.8|7903|6260000|2022-07-01 05:57:03
19363|부산광역시 해운대구|2017|18|165334|423609|205667|217942|12|8230|6260000|2022-07-01 05:57:03
19364|부산광역시 사하구|2017|16|136012|339203|170123|169080|9.6|8125|6260000|2022-07-01 05:57:03
19365|부산광역시 금정구|2017|17|102950|248576|121958|126618|7|3808|6260000|2022-07-01 05:57:03
19366|부산광역시 강서구|2017|7|45141|117161|62436|54725|3.3|646|6260000|2022-07-01 05:57:03
19367|부산광역시 연제구|2017|12|84949|208679|101770|106909|5.9|17246|6260000|2022-07-01 05:57:03
19368|부산광역시 수영구|2017|10|77696|180222|85911|94311|5.1|17652|6260000|2022-07-01 05:57:03
19369|부산광역시 사상구|2017|12|96519|237147|120739|116408|6.7|6571|6260000|2022-07-01 05:57:03
19370|부산광역시 기장군|2017|5|63006|161102|80173|80929|4.5|738|6260000|2022-07-01 05:57:03
19371|부산광역시|2017|205|1456356|3541509|1748351|1793158|100|4600|6260000|2022-07-01 05:57:03
19372|부산광역시 중구|2017|9|23291|46975|23348|23627|1.3|16599|6260000|2022-07-01 05:57:03
19373|부산광역시 서구|2017|13|52409|113898|56085|57813|3.2|8159|6260000|2022-07-01 05:57:03
19374|부산광역시 동구|2017|12|43159|91474|45193|46281|2.6|9392|6260000|2022-07-01 05:57:03
19375|부산광역시 영도구|2017|11|55672|127176|63248|63928|3.6|8962|6260000|2022-07-01 05:57:03
19376|부산광역시 부산진구|2017|20|165596|377999|184471|193528|10.7|12736|6260000|2022-07-01 05:57:03
19377|부산광역시 동래구|2017|13|108889|275794|135153|140641|7.8|16584|6260000|2022-07-01 05:57:03
19378|부산광역시 남구|2017|17|113785|282083|138435|143648|8|10522|6260000|2022-07-01 05:57:03
19379|부산광역시 북구|2017|13|120875|310817|154312|156505|8.8|7897|6260000|2022-07-01 05:57:03
19380|부산광역시|2012|214|1389526|3573533|1774993|1798540|100|4643|6260000|2022-07-01 05:57:03
19381|부산광역시|2013|210|1404663|3563578|1767963|1795615|100|4629|6260000|2022-07-01 05:57:03
19382|부산광역시 동래구|2008|14|100394|283603|140810|142793|7.89|17037|6260000|2022-07-01 05:57:03
19383|부산광역시 동래구|2009|14|101419|282525|139952|142573|7.9|16968|6260000|2022-07-01 05:57:03
19384|부산광역시 동래구|2010|14|104637|283636|140337|143299|7.88|17056|6260000|2022-07-01 05:57:03
19385|부산광역시 동래구|2011|13|106244|284649|140740|143909|7.94|17117|6260000|2022-07-01 05:57:03
19386|부산광역시 동래구|2012|13|105187|279805|138212|141593|7.83|16825|6260000|2022-07-01 05:57:03
19387|부산광역시 동래구|2013|13|105836|277596|136879|140717|7.79|16692|6260000|2022-07-01 05:57:03
19388|부산광역시 동래구|2014|13|107023|276823|136234|140589|7.78|16646|6260000|2022-07-01 05:57:03
19389|부산광역시 동래구|2015|13|106766|273993|134675|139318|7.7|16476|6260000|2022-07-01 05:57:03
19390|부산광역시 동래구|2016|13|107917|273939|134367|139572|7.7|16473|6260000|2022-07-01 05:57:03
19391|부산광역시 동래구|2017|13|108609|271967|133173|138794|7.7|16354|6260000|2022-07-01 05:57:03
19392|부산광역시 남구|2007|19|107476|298898|149119|149779|8.27|11300|6260000|2022-07-01 05:57:03
19393|부산광역시 남구|2008|19|109472|300966|149964|151002|8.37|11370|6260000|2022-07-01 05:57:03
19394|부산광역시 남구|2009|19|110473|301043|149648|151395|8.42|11309|6260000|2022-07-01 05:57:03
19395|부산광역시 남구|2010|19|113426|301904|149905|151999|8.39|11278|6260000|2022-07-01 05:57:03
19194|부산광역시 연제구|2017|12|85892|207729|100988|106741|5.9|17168|6260000|2022-07-01 05:57:03
19195|부산광역시 수영구|2017|10|79788|181725|86570|95155|5.2|17799|6260000|2022-07-01 05:57:03
19196|부산광역시 사상구|2017|12|97169|234624|119308|115316|6.7|6501|6260000|2022-07-01 05:57:03
19197|부산광역시 기장군|2017|5|65738|163920|81662|82258|4.7|751|6260000|2022-07-01 05:57:03
19198|부산광역시|2018|206|1468069|3516594|1734978|1781616|100|4567|6260000|2022-07-01 05:57:03
19199|부산광역시 중구|2018|9|23265|45965|22793|23172|1.3|16242|6260000|2022-07-01 05:57:03
19200|부산광역시 서구|2018|13|51900|111682|54949|56733|3.2|7989|6260000|2022-07-01 05:57:03
19201|부산광역시 동구|2018|12|43443|90808|44754|46054|2.6|9323|6260000|2022-07-01 05:57:03
19202|부산광역시 영도구|2018|11|55710|125140|62173|62967|3.6|8819|6260000|2022-07-01 05:57:03
19203|부산광역시 부산진구|2018|20|166392|373712|182189|191523|10.6|12596|6260000|2022-07-01 05:57:03
19204|부산광역시 동래구|2018|13|108560|271448|132910|138538|7.7|16323|6260000|2022-07-01 05:57:03
19205|부산광역시 남구|2018|17|113755|278717|136933|141784|7.9|10396|6260000|2022-07-01 05:57:03
19206|부산광역시 북구|2018|13|120227|304579|151032|153547|8.7|7736|6260000|2022-07-01 05:57:03
19207|부산광역시 해운대구|2018|18|165184|416956|202085|214871|11.9|8101|6260000|2022-07-01 05:57:03
19208|부산광역시 사하구|2018|16|137872|337909|169320|168589|9.6|8067|6260000|2022-07-01 05:57:03
19209|부산광역시 금정구|2018|17|104870|248807|121910|126897|7.1|3812|6260000|2022-07-01 05:57:03
19210|부산광역시 강서구|2018|8|47892|123120|65516|57604|3.5|678|6260000|2022-07-01 05:57:03
19211|부산광역시 연제구|2018|12|86013|207717|100965|106752|5.9|17167|6260000|2022-07-01 05:57:03
19212|부산광역시 수영구|2018|10|79922|181605|86556|95049|5.2|17787|6260000|2022-07-01 05:57:03
19213|부산광역시 사상구|2018|12|97146|234049|119019|115030|6.7|6485|6260000|2022-07-01 05:57:03
19214|부산광역시 기장군|2018|5|65918|164380|81874|82506|4.7|753|6260000|2022-07-01 05:57:03
19215|부산광역시|2018|206|1470058|3514419|1733725|1780694|100|4564|6260000|2022-07-01 05:57:03
19216|부산광역시 중구|2018|9|23235|45821|22748|23073|1.3|16191|6260000|2022-07-01 05:57:03
19217|부산광역시 서구|2018|13|52061|111906|55036|56870|3.2|8005|6260000|2022-07-01 05:57:03
19218|부산광역시 동구|2018|12|43460|90668|44669|45999|2.6|9309|6260000|2022-07-01 05:57:03
19219|부산광역시 영도구|2018|11|55720|124918|62046|62872|3.6|8803|6260000|2022-07-01 05:57:03
19220|부산광역시 부산진구|2018|20|166375|372922|181716|191206|10.6|12569|6260000|2022-07-01 05:57:03
19221|부산광역시 해운대구|2017|18|165300|423107|205345|217762|11.9|8220|6260000|2022-07-01 05:57:03
19222|부산광역시 사하구|2017|16|136112|338816|169836|168980|9.6|8115|6260000|2022-07-01 05:57:03
19223|부산광역시 금정구|2017|17|103148|248680|121921|126759|7|3810|6260000|2022-07-01 05:57:03
19224|부산광역시 강서구|2017|7|45559|118050|62835|55215|3.3|650|6260000|2022-07-01 05:57:03
19225|부산광역시 연제구|2017|12|85053|208548|101657|106891|5.9|17235|6260000|2022-07-01 05:57:03
19226|부산광역시 수영구|2017|10|77820|179963|85781|94182|5.1|17626|6260000|2022-07-01 05:57:03
19227|부산광역시 사상구|2017|12|96554|237024|120579|116445|6.7|6568|6260000|2022-07-01 05:57:03
19228|부산광역시 기장군|2017|5|63134|161105|80152|80953|4.5|738|6260000|2022-07-01 05:57:03
19229|부산광역시|2017|205|1457360|3539532|1747332|1792200|100|4597|6260000|2022-07-01 05:57:03
19230|부산광역시 중구|2017|9|23271|46838|23259|23579|1.3|16551|6260000|2022-07-01 05:57:03
19231|부산광역시 서구|2017|13|52352|113648|55952|57696|3.2|8141|6260000|2022-07-01 05:57:03
19232|부산광역시 동구|2017|12|43110|91229|45036|46193|2.6|9366|6260000|2022-07-01 05:57:03
19233|부산광역시 영도구|2017|11|55608|126884|63104|63780|3.6|8942|6260000|2022-07-01 05:57:03
19234|부산광역시 부산진구|2017|20|165959|378312|184680|193632|10.7|12746|6260000|2022-07-01 05:57:03
19235|부산광역시 동래구|2017|13|108994|275714|135112|140602|7.8|16579|6260000|2022-07-01 05:57:03
19236|부산광역시 남구|2017|17|113701|281487|138165|143322|8|10499|6260000|2022-07-01 05:57:03
19237|부산광역시 북구|2017|13|120909|310709|154168|156541|8.8|7894|6260000|2022-07-01 05:57:03
19238|부산광역시 해운대구|2017|18|165314|422674|205131|217543|11.9|8212|6260000|2022-07-01 05:57:03
19239|부산광역시 사하구|2017|16|136220|338581|169709|168872|9.6|8110|6260000|2022-07-01 05:57:03
19240|부산광역시 금정구|2017|17|103154|248359|121803|126556|7|3805|6260000|2022-07-01 05:57:03
19241|부산광역시 강서구|2017|7|45942|118978|63309|55669|3.4|656|6260000|2022-07-01 05:57:03
19242|부산광역시 연제구|2017|12|85036|208298|101464|106834|5.9|17215|6260000|2022-07-01 05:57:03
19243|부산광역시 수영구|2017|10|77979|180085|85883|94202|5.1|17638|6260000|2022-07-01 05:57:03
19244|부산광역시 사상구|2017|12|96585|236656|120398|116258|6.7|6557|6260000|2022-07-01 05:57:03
19245|부산광역시 기장군|2017|5|63226|161080|80159|80921|4.6|738|6260000|2022-07-01 05:57:03
19246|부산광역시|2017|205|1459062|3537513|1746325|1791188|100|4595|6260000|2022-07-01 05:57:03
19247|부산광역시 중구|2017|9|23262|46729|23192|23537|1.3|16512|6260000|2022-07-01 05:57:03
19248|부산광역시 서구|2017|13|52338|113512|55877|57635|3.2|8131|6260000|2022-07-01 05:57:03
19249|부산광역시 동구|2017|12|43093|91053|44974|46079|2.6|9348|6260000|2022-07-01 05:57:03
19250|부산광역시 영도구|2017|11|55559|126499|62903|63596|3.6|8915|6260000|2022-07-01 05:57:03
19251|부산광역시 부산진구|2017|20|166222|378188|184590|193598|10.7|12742|6260000|2022-07-01 05:57:03
19252|부산광역시 동래구|2017|13|108991|275422|134954|140468|7.8|16562|6260000|2022-07-01 05:57:03
19253|부산광역시 남구|2017|17|113733|281163|138028|143135|7.9|10487|6260000|2022-07-01 05:57:03
19254|부산광역시 북구|2017|13|120870|310207|153912|156295|8.8|7881|6260000|2022-07-01 05:57:03
19255|부산광역시 해운대구|2017|18|165291|422005|204775|217230|11.9|8199|6260000|2022-07-01 05:57:03
19256|부산광역시 사하구|2017|16|136473|338707|169745|168962|9.6|8113|6260000|2022-07-01 05:57:03
19257|부산광역시 금정구|2017|17|103224|247970|121628|126342|7|3799|6260000|2022-07-01 05:57:03
19258|부산광역시 강서구|2017|7|46436|120104|63911|56193|3.4|662|6260000|2022-07-01 05:57:03
19259|부산광역시 연제구|2017|12|85133|208190|101389|106801|5.9|17206|6260000|2022-07-01 05:57:03
19260|부산광역시 수영구|2017|10|78255|180242|85978|94264|5.1|17653|6260000|2022-07-01 05:57:03
19261|부산광역시 사상구|2017|12|96667|236260|120207|116053|6.7|6546|6260000|2022-07-01 05:57:03
19262|부산광역시 기장군|2017|5|63515|161262|80262|81000|4.6|739|6260000|2022-07-01 05:57:03
19263|부산광역시|2017|205|1460244|3534848|1744966|1789882|100|4591|6260000|2022-07-01 05:57:03
19264|부산광역시 중구|2017|9|23296|46682|23131|23551|1.3|16495|6260000|2022-07-01 05:57:03
19265|부산광역시 서구|2017|13|52276|113333|55834|57499|3.2|8118|6260000|2022-07-01 05:57:03
19266|부산광역시 동구|2017|12|43078|90905|44900|46005|2.6|9333|6260000|2022-07-01 05:57:03
19267|부산광역시 영도구|2017|11|55521|126303|62832|63471|3.6|8901|6260000|2022-07-01 05:57:03
19268|부산광역시 부산진구|2017|20|166284|377815|184400|193415|10.7|12730|6260000|2022-07-01 05:57:03
19269|부산광역시 동래구|2017|13|108955|275103|134783|140320|7.8|16543|6260000|2022-07-01 05:57:03
19270|부산광역시 남구|2017|17|113773|280939|137938|143001|7.9|10479|6260000|2022-07-01 05:57:03
19271|부산광역시 북구|2017|13|120823|309598|153591|156007|8.8|7866|6260000|2022-07-01 05:57:03
19272|부산광역시 해운대구|2017|18|165325|421409|204439|216970|11.9|8187|6260000|2022-07-01 05:57:03
19273|부산광역시 사하구|2017|16|136766|338638|169696|168942|9.6|8111|6260000|2022-07-01 05:57:03
19274|부산광역시 금정구|2017|17|103295|247647|121439|126208|7|3794|6260000|2022-07-01 05:57:03
19275|부산광역시 강서구|2017|7|46757|120928|64368|56560|3.4|666|6260000|2022-07-01 05:57:03
19276|부산광역시 연제구|2017|12|85196|208077|101345|106732|5.9|17196|6260000|2022-07-01 05:57:03
19277|부산광역시 수영구|2017|10|78398|180178|85904|94274|5.1|17647|6260000|2022-07-01 05:57:03
19278|부산광역시 사상구|2017|12|96835|235975|120088|115887|6.7|6539|6260000|2022-07-01 05:57:03
19279|부산광역시 기장군|2017|5|63666|161318|80278|81040|4.6|739|6260000|2022-07-01 05:57:03
19280|부산광역시|2017|205|1462269|3533065|1744087|1788978|100|4589|6260000|2022-07-01 05:57:03
19281|부산광역시 중구|2017|9|23300|46584|23096|23488|1.3|16461|6260000|2022-07-01 05:57:03
19282|부산광역시 서구|2017|13|52285|113198|55753|57445|3.2|8109|6260000|2022-07-01 05:57:03
19283|부산광역시 동구|2017|12|43100|90766|44777|45989|2.6|9319|6260000|2022-07-01 05:57:03
19284|부산광역시 영도구|2017|11|55514|126081|62715|63366|3.6|8885|6260000|2022-07-01 05:57:03
19285|부산광역시 부산진구|2017|20|166738|377843|184408|193435|10.7|12731|6260000|2022-07-01 05:57:03
19286|부산광역시 동래구|2017|13|108935|274583|134533|140050|7.8|16511|6260000|2022-07-01 05:57:03
19287|부산광역시 남구|2017|17|113934|280863|137939|142924|7.9|10476|6260000|2022-07-01 05:57:03
19288|부산광역시 북구|2017|13|120818|308828|153211|155617|8.7|7846|6260000|2022-07-01 05:57:03
19289|부산광역시 해운대구|2017|18|165331|420825|204161|216664|11.9|8176|6260000|2022-07-01 05:57:03
19290|부산광역시 사하구|2017|16|136985|338746|169766|168980|9.6|8114|6260000|2022-07-01 05:57:03
19291|부산광역시 금정구|2017|17|103399|247317|121301|126016|7|3789|6260000|2022-07-01 05:57:03
19292|부산광역시 강서구|2017|7|47040|121634|64718|56916|3.4|670|6260000|2022-07-01 05:57:03
19293|부산광역시 연제구|2017|12|85419|208350|101426|106924|5.9|17219|6260000|2022-07-01 05:57:03
19294|부산광역시 수영구|2017|10|78554|180133|85890|94243|5.1|17643|6260000|2022-07-01 05:57:03
19092|부산광역시 동래구|2018|13|108953|270842|132535|138307|7.7|16286|6260000|2022-07-01 05:57:03
19093|부산광역시 남구|2018|17|115491|282774|138930|143844|8.1|10547|6260000|2022-07-01 05:57:03
19094|부산광역시 북구|2018|13|120194|302677|150034|152643|8.6|7688|6260000|2022-07-01 05:57:03
19095|부산광역시 해운대구|2018|18|165959|416668|201772|214896|11.9|8095|6260000|2022-07-01 05:57:03
19096|부산광역시 사하구|2018|16|138371|336110|168493|167617|9.6|8024|6260000|2022-07-01 05:57:03
19097|부산광역시 금정구|2018|17|105663|248836|121892|126944|7.1|3812|6260000|2022-07-01 05:57:03
19098|부산광역시 강서구|2018|8|48673|124496|66170|58326|3.5|686|6260000|2022-07-01 05:57:03
19099|부산광역시 연제구|2018|12|86005|206424|100209|106215|5.9|17060|6260000|2022-07-01 05:57:03
19100|부산광역시 수영구|2018|10|79890|180211|85787|94424|5.1|17650|6260000|2022-07-01 05:57:03
19101|부산광역시 사상구|2018|12|96764|231795|117701|114094|6.6|6423|6260000|2022-07-01 05:57:03
19102|부산광역시 기장군|2018|5|66527|164935|82044|82891|4.7|756|6260000|2022-07-01 05:57:03
19103|부산광역시|2018|206|1473448|3506103|1728471|1777632|100|4553|6260000|2022-07-01 05:57:03
19104|부산광역시 중구|2018|9|23089|45408|22524|22884|1.3|16045|6260000|2022-07-01 05:57:03
19105|부산광역시 서구|2018|13|52500|112445|55220|57225|3.2|8043|6260000|2022-07-01 05:57:03
19106|부산광역시 동구|2018|12|43326|89842|44265|45577|2.6|9224|6260000|2022-07-01 05:57:03
19107|부산광역시 영도구|2018|11|55534|123735|61454|62281|3.5|8720|6260000|2022-07-01 05:57:03
19108|부산광역시 부산진구|2018|20|166084|370440|180298|190142|10.6|12485|6260000|2022-07-01 05:57:03
19109|부산광역시 동래구|2018|13|109040|270809|132497|138312|7.7|16284|6260000|2022-07-01 05:57:03
19110|부산광역시 남구|2018|17|115729|283384|139248|144136|8.1|10570|6260000|2022-07-01 05:57:03
19111|부산광역시 북구|2018|13|120175|302356|149887|152469|8.6|7680|6260000|2022-07-01 05:57:03
19112|부산광역시 해운대구|2018|18|165966|416311|201582|214729|11.9|8088|6260000|2022-07-01 05:57:03
19113|부산광역시 사하구|2018|16|138354|335691|168286|167405|9.6|8014|6260000|2022-07-01 05:57:03
