BASE_YEAR,BASE_MONTH,GU_DC,MV_TOT_CNT,MV_MAN_CNT,MV_WMAN_CNT
2016,8,남구,13432.71,6641.84,6790.87
2016,8,동구,8032.64,4004.46,4028.18
2016,8,동래구,20894.08,9775.53,11118.55
2016,8,부산진구,17728.87,8429.21,9299.66
2016,8,북구,17639.98,8140.62,9499.36
2016,8,사상구,23515.3,12516.45,10998.85
2016,8,사하구,19377.26,9604.23,9773.03
2016,8,서구,8744.67,4350.17,4394.5
2016,8,수영구,16928.38,7847.64,9080.73
2016,8,연제구,17554.11,8404.34,9149.77
2016,8,영도구,9405.18,4769.1,4636.08
2016,8,중구,13446.46,6763.2,6683.26
2016,8,해운대구,25348.87,11512.09,13836.78
2016,9,강서구,24412.67,15237.88,9174.79
2016,9,금정구,13199.56,6408.59,6790.97
2016,9,기장군,30613.06,15234.35,15378.71
2016,9,남구,13914.9,6842.39,7072.5
2016,9,동구,8107.81,4031.21,4076.6
2016,9,동래구,21215.47,9854.26,11361.2
2016,9,부산진구,18367.08,8705.66,9661.42
2016,9,북구,17769.99,8167.78,9602.22
2016,9,사상구,23684.22,12449.28,11234.94
2016,9,사하구,19489.98,9578.01,9911.96
2016,9,서구,8760.15,4335.35,4424.79
2016,9,수영구,16661.97,7672.61,8989.35
2016,9,연제구,17579.12,8350.23,9228.89
2016,9,영도구,9425.37,4757.36,4668.01
2016,9,중구,13409.91,6734.66,6675.25
2016,9,해운대구,23690.92,10662.66,13028.26
2016,10,강서구,25989.76,16384.01,9605.75
2016,10,금정구,13457.7,6513.65,6944.05
2016,10,기장군,30672.96,15312.51,15360.45
2016,10,남구,14041.19,6892,7149.19
2016,10,동구,8392.16,4173.21,4218.95
2016,10,동래구,21621.58,9938.52,11683.06
2016,10,부산진구,18660.89,8794.55,9866.34
2016,10,북구,17784.11,8127,9657.11
2016,10,사상구,23889.65,12574.66,11314.99
2016,10,사하구,19655.84,9659.69,9996.15
2016,10,서구,8779.3,4351.83,4427.47
2016,10,수영구,17126.39,7860.01,9266.38
2016,10,연제구,18188.05,8562.66,9625.38
2016,10,영도구,9289,4712.02,4576.98
2016,10,중구,14177.37,7090.78,7086.59
2016,10,해운대구,24255.47,10893.85,13361.62
2016,11,강서구,26753.83,16880.7,9873.13
2016,11,금정구,13609.36,6570.05,7039.31
2016,11,기장군,30673.09,15286.27,15386.83
2016,11,남구,14104.58,6896.24,7208.34
2016,11,동구,8579.35,4251.76,4327.59
2016,11,동래구,21512.92,9897.22,11615.7
2016,11,부산진구,19110.57,9000.27,10110.3
2016,11,북구,17969.32,8163.39,9805.93
2016,11,사상구,24201.98,12815.04,11386.94
2016,11,사하구,19758.41,9705.34,10053.07
2016,11,서구,8967.53,4424.94,4542.59
2016,11,수영구,17071.63,7810.28,9261.35
2016,11,연제구,18336.79,8637.99,9698.8
2016,11,영도구,9296.92,4708.44,4588.48
2016,11,중구,14540.49,7273.2,7267.29
2016,11,해운대구,24358.83,10935.38,13423.44
2016,12,강서구,27616.98,17058.77,10558.2
2016,12,금정구,13189.37,6419.07,6770.3
2016,12,기장군,30820.32,15293.66,15526.66
2016,12,남구,13908.16,6893.76,7014.41
2016,12,동구,8681.53,4320.41,4361.11
2016,12,동래구,22054.65,10192.41,11862.24
2016,12,부산진구,19945.43,9312.94,10632.49
2016,12,북구,18143.03,8163.97,9979.06
2016,12,사상구,24667.07,12982.38,11684.69
2016,12,사하구,18694.61,9143.92,9550.69
2016,12,서구,10154.44,4988.5,5165.93
2016,12,수영구,17758.54,8100.01,9658.53
2016,12,연제구,18710.78,8945.93,9764.85
2016,12,영도구,8715.94,4365.4,4350.54
2016,12,중구,12156.87,6073.15,6083.72
2016,12,해운대구,22177.59,9949.9,12227.69
2017,1,강서구,27482.91,16042.63,11440.28
2017,1,금정구,14701.43,7248.4,7453.03
2017,1,기장군,30470.29,15571.87,14898.42
2017,1,남구,16358.39,8240.57,8117.82
2017,1,동구,6458.63,3265.45,3193.19
2017,1,동래구,21859.14,10403.69,11455.45
2017,1,부산진구,21967.69,10642.38,11325.31
2017,1,북구,20349.44,9797.94,10551.5
2017,1,사상구,19875.01,10399.57,9475.43
2017,1,사하구,19092.8,9609.65,9483.15
2017,1,서구,7424.71,3649.82,3774.89
2017,1,수영구,18027.69,8596.92,9430.78
2017,1,연제구,19585.33,9478.14,10107.19
2017,1,영도구,9401.95,4848.49,4553.45
2017,1,중구,11756.99,5924.74,5832.25
2017,1,해운대구,19342.6,9257.09,10085.51
2017,2,강서구,34854.35,20321.24,14533.11
2017,2,금정구,14167.85,6968.8,7199.05
2017,2,기장군,32163.32,16531.1,15632.22
2017,2,남구,14037.29,7098.14,6939.16
2017,2,동구,6266.28,3176.17,3090.11
2017,2,동래구,20839.94,9946.04,10893.91
2017,2,부산진구,20236.92,9769.33,10467.59
2017,2,북구,20518.47,9797.05,10721.43
2017,2,사상구,19981.9,10496.38,9485.52
2017,2,사하구,18759.38,9475.42,9283.96
2017,2,서구,6777.95,3324.82,3453.13
2017,2,수영구,19016.8,9038.4,9978.4
2017,2,연제구,18056.72,8715.8,9340.92
2017,2,영도구,8090.05,4196.29,3893.77
2017,2,중구,11064.05,5565.73,5498.32
2017,2,해운대구,23635.73,11212.97,12422.75
2017,3,강서구,32669.45,19098.76,13570.69
2017,3,금정구,14657.54,7187.51,7470.03
2017,3,기장군,31412.67,16026.19,15386.48
2017,3,남구,14455.28,7336.99,7118.29
2017,3,동구,6167.71,3126.63,3041.08
2017,3,동래구,20387.83,9690.98,10696.85
2017,3,부산진구,19909.36,9556.71,10352.65
2017,3,북구,19952.67,9504.76,10447.9
2017,3,사상구,20031.93,10489.86,9542.07
2017,3,사하구,18729.77,9407.13,9322.64
2017,3,서구,6743.98,3308,3435.98
2017,3,수영구,18492.08,8766.58,9725.5
2017,3,연제구,17931.75,8603.86,9327.9
2017,3,영도구,8013.57,4170.65,3842.92
2017,3,중구,10609.21,5323.13,5286.08
2017,3,해운대구,23020.36,10906.79,12113.57
2017,4,강서구,31763.31,18417.93,13345.38
2017,4,금정구,14555.04,7150.5,7404.53
2017,4,기장군,31164.16,15878.69,15285.47
2017,4,남구,14226.56,7216.19,7010.38
2017,4,동구,6080.27,3074.43,3005.84
2017,4,동래구,20273.13,9653.75,10619.37
2017,4,부산진구,19573.1,9392.07,10181.03
2017,4,북구,19829.9,9465.13,10364.77
2017,4,사상구,18360.23,9564.55,8795.68
2017,4,사하구,18495.32,9297.33,9197.99
2017,4,서구,6716.62,3310.3,3406.32
2017,4,수영구,18382.29,8709.17,9673.12
2017,4,연제구,17648.58,8474.19,9174.4
2017,4,영도구,7941.36,4119.84,3821.52
2017,4,중구,10510.76,5273.48,5237.27
2017,4,해운대구,23036.1,10915.94,12120.16
2017,5,강서구,33009.07,19083.73,13925.34
2017,5,금정구,14611.91,7189.69,7422.22
2017,5,기장군,31639.87,16125.69,15514.18
2017,5,남구,14332.95,7269.83,7063.13
2017,5,동구,6123,3073.67,3049.33
2017,5,동래구,20621.89,9836.73,10785.16
2017,5,부산진구,19484.55,9351.9,10132.65
2017,5,북구,20137.81,9642.68,10495.12
2017,5,사상구,17988.3,9394.4,8593.9
2017,5,사하구,19308.25,9720.04,9588.21
2017,5,서구,6989.9,3463.16,3526.74
2017,5,수영구,18714.8,8911.78,9803.02
2017,5,연제구,17991.33,8655.32,9336.01
2017,5,영도구,8181.12,4231.89,3949.23
2017,5,중구,10862.96,5409.68,5453.29
2017,5,해운대구,23531.17,11176.3,12354.87
2017,6,강서구,35133.35,20348.25,14785.1
2017,6,금정구,14531.38,7154.63,7376.76
2017,6,기장군,31366.26,16054.55,15311.71
2017,6,남구,14546.1,7387.97,7158.13
2017,6,동구,6169.12,3111.72,3057.41
2017,6,동래구,21024.88,10058.24,10966.64
2017,6,부산진구,19807.68,9529.84,10277.84
2017,6,북구,20420.59,9755.7,10664.89
2017,6,사상구,19482.58,10176.94,9305.64
2017,6,사하구,19939.09,10027.03,9912.06
2017,6,서구,7170.5,3549.28,3621.22
2017,6,수영구,19415.42,9306.36,10109.06
2017,6,연제구,18262.32,8824.64,9437.68
2017,6,영도구,8399.9,4395.14,4004.76
2017,6,중구,10952.02,5483.36,5468.66
2017,6,해운대구,24054.01,11436.63,12617.38
2017,7,강서구,41190.26,27669.49,13520.77
2017,7,금정구,14097.94,7861.38,6236.56
2017,7,기장군,37516.33,22359.39,15156.95
2017,7,남구,12661.48,7201.13,5460.34
2017,7,동구,9130.6,5090.45,4040.15
2017,7,동래구,20816.21,11103.46,9712.74
2017,7,부산진구,23723.9,12484.71,11239.19
2017,7,북구,18466.59,9917.96,8548.63
2017,7,사상구,22512.46,13426.82,9085.63
2017,7,사하구,20268.29,11641.65,8626.64
2017,7,서구,7224.22,4130.88,3093.34
2017,7,수영구,18183.68,9656.71,8526.97
2017,7,연제구,15709.82,8493.17,7216.66
2017,7,영도구,6969.86,4165.89,2803.97
2017,7,중구,13727.59,7632.81,6094.78
2017,7,해운대구,24510.99,12881.97,11629.02
2017,8,강서구,39636.78,26612.05,13024.73
2017,8,금정구,13314.83,7408.52,5906.32
2017,8,기장군,38125.86,22346.86,15779
2017,8,남구,12115.29,6901.54,5213.75
2017,8,동구,8446.78,4715.56,3731.23
2017,8,동래구,19704.44,10546.08,9158.36
2017,8,부산진구,22829.95,12010.56,10819.39
2017,8,북구,17433.93,9424.66,8009.27
2017,8,사상구,22342.87,13318.62,9024.25
2017,8,사하구,19444.26,11116.93,8327.32
2017,8,서구,6894.15,3929.26,2964.9
2017,8,수영구,17993.58,9526.65,8466.93
2017,8,연제구,15008.6,8103.14,6905.46
2017,8,영도구,6657.1,3964.7,2692.4
2017,8,중구,13956.46,7719.73,6236.73
2017,8,해운대구,24084.16,12637.71,11446.45
2017,9,강서구,37100.15,25135.08,11965.07
2017,9,금정구,13261.31,7369.01,5892.3
2017,9,기장군,34078.48,20206.14,13872.34
2017,9,남구,11804.71,6691.59,5113.12
2017,9,동구,7673.95,4290.41,3383.54
2017,9,동래구,19005.17,10137.86,8867.31
2017,9,부산진구,21726.33,11345.02,10381.31
2017,9,북구,16471.81,8833.28,7638.53
2017,9,사상구,22407.87,13351.98,9055.89
2017,9,사하구,18125.54,10386.86,7738.68
2017,9,서구,6151.01,3535.4,2615.6
2017,9,수영구,15983.89,8450.21,7533.68
2017,9,연제구,14013.59,7497.19,6516.4
2017,9,영도구,6220.65,3782.95,2437.7
2017,9,중구,11883.85,6649.71,5234.13
2017,9,해운대구,21212.54,11162.41,10050.13
2017,10,강서구,39506.83,25961.6,13545.23
2017,10,금정구,14196.82,7830.63,6366.19
2017,10,기장군,39149.16,22690.02,16459.14
2017,10,남구,12281.41,6939.25,5342.16
2017,10,동구,7859.32,4378.9,3480.42
2017,10,동래구,20279.58,10829.02,9450.55
2017,10,부산진구,22683.2,11874.06,10809.13
2017,10,북구,17583.26,9460.09,8123.17
2017,10,사상구,23902.92,14043.32,9859.59
2017,10,사하구,18871.42,10725.79,8145.63
2017,10,서구,6679.03,3776.87,2902.16
2017,10,수영구,16696.2,8840.34,7855.87
2017,10,연제구,14391.91,7744.09,6647.82
2017,10,영도구,6849.62,4079.25,2770.38
2017,10,중구,13027.63,7208.57,5819.06
2017,10,해운대구,22593.9,11894.27,10699.63
2017,11,강서구,43534.56,29514.56,14019.99
2017,11,금정구,15023.4,8285.86,6737.55
2017,11,기장군,38998.14,23087.77,15910.37
2017,11,남구,13093.73,7431.84,5661.89
2017,11,동구,7597.56,4383.28,3214.28
2017,11,동래구,21623.62,11535.92,10087.7
2017,11,부산진구,23622.72,12317.61,11305.1
2017,11,북구,17654.69,9439.62,8215.07
2017,11,사상구,25329.08,15086.6,10242.49
2017,11,사하구,19336.04,11091.4,8244.63
2017,11,서구,6790.69,3899.91,2890.78
2017,11,수영구,16539.88,8744.92,7794.96
2017,11,연제구,15879.82,8500.66,7379.15
2017,11,영도구,6827.47,4188.77,2638.7
2017,11,중구,11686.39,6600.67,5085.72
2017,11,해운대구,21975.41,11706.37,10269.04
2017,12,강서구,38265.48,26069.42,12196.06
2017,12,금정구,14909.08,8291.51,6617.58
2017,12,기장군,38113.5,22699.75,15413.75
2017,12,남구,13202.27,7508.92,5693.35
2017,12,동구,7753.54,4427.29,3326.25
2017,12,동래구,21289.59,11464.74,9824.85
2017,12,부산진구,22955.14,12120.34,10834.8
2017,12,북구,15909.29,8654.96,7254.34
2017,12,사상구,24527.41,14652.76,9874.65
2017,12,사하구,18291.86,10546.89,7744.97
2017,12,서구,6275.56,3644.2,2631.37
2017,12,수영구,16239.34,8635.36,7603.97
2017,12,연제구,15551.74,8428.38,7123.37
2017,12,영도구,6361.86,3860.55,2501.31
2017,12,중구,10618.01,5988.71,4629.31
2017,12,해운대구,21324.95,11345.48,9979.48
2018,1,강서구,38476.56,26159.71,12316.85
2018,1,금정구,13212.63,7297.33,5915.3
2018,1,기장군,35030.48,20748.18,14282.3
2018,1,남구,12757.31,7198.45,5558.85
2018,1,동구,8421.33,4798.27,3623.06
2018,1,동래구,19016.75,10133.16,8883.59
2018,1,부산진구,22036.56,11552.92,10483.63
2018,1,북구,16688.61,8909.95,7778.67
2018,1,사상구,23282.63,13890.5,9392.13
2018,1,사하구,18329.01,10519.7,7809.31
2018,1,서구,6238.26,3558.78,2679.48
2018,1,수영구,17256.1,9032.05,8224.05
2018,1,연제구,14493.31,7816.61,6676.7
2018,1,영도구,6651.26,3954.65,2696.61
2018,1,중구,11412.6,6374.89,5037.71
2018,1,해운대구,20390.01,10756.32,9633.7
2018,2,강서구,38022.1,25543.71,12478.4
2018,2,금정구,14284.2,7868.32,6415.88
2018,2,기장군,36903.98,21713.67,15190.31
2018,2,남구,13057.73,7358.1,5699.63
2018,2,동구,8377.12,4745.26,3631.86
2018,2,동래구,19881.9,10584.14,9297.76
2018,2,부산진구,22437.27,11753.87,10683.4
2018,2,북구,16979.14,9061.42,7917.72
2018,2,사상구,23498.55,13938.03,9560.52
