"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","비상시설위치","시설구분명","시설명건물명","해제일자",
"466","민방위대피시설","11_46_02_P","3300000","3300000-S201100004","20110831","","01","영업/정상","18","사용중","","","","","","2693","","부산광역시 동래구 명륜동 756번지 1호","부산광역시 동래구 문화로 33 (명륜동, 동래센트럴파크하이츠2차)","47747","동래센트럴파크하이츠 2차","20201217110615","U","2020-12-19 02:40:00.0","","389886.666899087","192237.037051806","부산광역시 동래구 명륜동 756번지 1호","공공시설","동래센트럴파크하이츠 2차","",
"467","민방위대피시설","11_46_02_P","3300000","3300000-S201100003","20110831","","01","영업/정상","18","사용중","","","","","","1544","","부산광역시 동래구 명륜동 756번지","부산광역시 동래구 문화로 15 (명륜동, 동래센트럴파크하이츠1차)","47747","동래센트럴파크하이츠 1차","20201217110602","U","2020-12-19 02:40:00.0","","389712.286694405","192235.335469441","부산광역시 동래구 명륜동 756번지","공공시설","동래센트럴파크하이츠 1차","",
"468","민방위대피시설","11_46_02_P","3300000","3300000-S199800010","19981125","","01","영업/정상","18","사용중","","","","","","1320","","부산광역시 동래구 낙민동 94번지 1호","부산광역시 동래구 온천천로399번길 14 (동원로얄듀크)","47902","동원로얄듀크","20220621113159","U","2022-06-23 02:40:00.0","","391004.79685215","190208.530855928","부산광역시 동래구 낙민동 94번지 1호","공공시설","동원로얄듀크","",
"469","민방위대피시설","11_46_02_P","3300000","3300000-S199700018","19971125","","01","영업/정상","18","사용중","","","","","","809","","부산광역시 동래구 낙민동 83번지 1호","부산광역시 동래구 안남로 9 (낙민동, 동래우성아파트)","47892","동래우성아파트","20220621113741","U","2022-06-23 02:40:00.0","","390599.93195949","190433.358388616","부산광역시 동래구 낙민동 83번지 1호","공공시설","동래우성아파트","",
"470","민방위대피시설","11_46_02_P","3300000","3300000-S199300001","19931204","","01","영업/정상","18","사용중","","","","","","185","","부산광역시 동래구 온천동 221번지 1호","부산광역시 동래구 금강로 127 (온천동, 온천제1동주민센터)","47703","온천1동 행정복지센터","20201217130702","U","2020-12-19 02:40:00.0","","389321.482210597","193181.894336025","부산광역시 동래구 온천동 221번지 1호","공공시설","온천1동 행정복지센터","",
"471","민방위대피시설","11_46_02_P","3300000","3300000-S199000002","19921204","","01","영업/정상","18","사용중","","","","","","99","","부산광역시 동래구 명장동 326번지 4호","부산광역시 동래구 명서로 168 (명장동, 명장제2동주민센터)","47764","명장2동 행정복지센터","20201217164856","U","2020-12-19 02:40:00.0","","391328.065336967","191847.114440687","부산광역시 동래구 명장동 326번지 4호","공공시설","명장2동 행정복지센터","",
"472","민방위대피시설","11_46_02_P","3300000","3300000-S199700005","19971204","","01","영업/정상","18","사용중","","","","","","281","","부산광역시 동래구 명륜동 700번지 200호","부산광역시 동래구 명륜로207번길 26 (명륜동, 명륜동주민센터)","47742","명륜동 행정복지센터","20201217105217","U","2020-12-19 02:40:00.0","","389472.182918833","192343.420281082","부산광역시 동래구 명륜동 700번지 200호","공공시설","명륜동 행정복지센터","",
"473","민방위대피시설","11_46_02_P","3300000","3300000-S201300001","20130916","","01","영업/정상","18","사용중","","","","","","8085","","부산광역시 동래구 사직동 1017번지","부산광역시 동래구 사직로 80-0 (사직쌍용예가)","47863","사직쌍용예가","20220426155539","U","2022-04-28 02:40:00.0","","387144.17668815","190534.020672018","부산광역시 동래구 사직동 1017번지","공공시설","사직쌍용예가","",
"474","민방위대피시설","11_46_02_P","3300000","3300000-S200600005","19990621","","01","영업/정상","18","사용중","","","","","","495","","부산광역시 동래구 명장동 133번지 5호","부산광역시 동래구 명장로 32 (명장동)","607809","명장1동 행정복지센터","20190719101111","U","2019-07-21 02:40:00.0","","391556.884942734","191531.149029329","부산광역시 동래구 명장동 133번지 5호","공공시설","명장1동 행정복지센터","",
"475","민방위대피시설","11_46_02_P","3300000","3300000-S199100007","19911205","","01","영업/정상","18","사용중","","","","","","735","","부산광역시 동래구 온천동 1129번지 2호","부산광역시 동래구 쇠미로235번길 9 (온천화신아파트)","47718","온천화신아파트","20220217133046","U","2022-02-19 02:40:00.0","","387932.219683295","192136.083600247","부산광역시 동래구 온천동 1129번지 2호","공공시설","온천화신아파트","",
"476","민방위대피시설","11_46_02_P","3300000","3300000-S199200006","19921205","","01","영업/정상","18","사용중","","","","","","226","","부산광역시 동래구 온천동 1119번지","부산광역시 동래구 쇠미로235번길 12 (온천동, 화인그린아파트)","47718","화인아파트","20220217133020","U","2022-02-19 02:40:00.0","","387935.039780848","192198.04088392","부산광역시 동래구 온천동 1119번지","공공시설","화인아파트","",
"477","민방위대피시설","11_46_02_P","3300000","3300000-S198400014","19921204","","01","영업/정상","18","사용중","","","","","","1899","","부산광역시 동래구 온천동 1350번지","부산광역시 동래구 아시아드대로255번가길 8-9 (온천동, 한사랑아파트)","47846","한사랑아파트","20201217140510","U","2020-12-19 02:40:00.0","","388145.747561927","191865.158754271","부산광역시 동래구 온천동 1350번지","공공시설","한사랑아파트","",
"478","민방위대피시설","11_46_02_P","3300000","3300000-S199000021","19901205","","01","영업/정상","18","사용중","","","","","","248","","부산광역시 동래구 온천동 1220번지 1호","부산광역시 동래구 석사북로95번길 48-26 (온천동, 현대그랜드빌라)","47847","현대그랜드빌라","20201217141102","U","2020-12-19 02:40:00.0","","387966.926607063","191771.026569402","부산광역시 동래구 온천동 1220번지 1호","공공시설","현대그랜드빌라","",
"479","민방위대피시설","11_46_02_P","3300000","3300000-S198400020","19841205","","01","영업/정상","18","사용중","","","","","","66","","부산광역시 동래구 온천동 1467번지 6호 동남온천맨션","부산광역시 동래구 여고북로 141 (온천동, 동남온천맨션)","47828","동남온천맨션","20201217140758","U","2020-12-19 02:40:00.0","","388652.850411716","191144.774755681","부산광역시 동래구 온천동 1467번지 6호 동남온천맨션","공공시설","동남온천맨션","",
"480","민방위대피시설","11_46_02_P","3300000","3300000-S199300009","19931205","","01","영업/정상","18","사용중","","","","","","363","","부산광역시 동래구 사직동 104번지 7호","부산광역시 동래구 아시아드대로 111-1 (사직동)","47876","홈코아빌라","20220621152355","U","2022-06-23 02:40:00.0","","388100.494333843","190320.753470036","부산광역시 동래구 사직동 104번지 7호","공공시설","홈코아빌라","",
"481","민방위대피시설","11_46_02_P","3300000","3300000-S200500005","20050202","","01","영업/정상","18","사용중","","","","","","2561","","부산광역시 동래구 사직동 161번지 1호","부산광역시 동래구 아시아드대로 지하 153 (사직동, 도시철도사직역)","47867","사직3동 방면 사직역","20220217104757","U","2022-02-19 02:40:00.0","","388216.975667223","190819.1913247","부산광역시 동래구 사직동 161번지 1호","공공시설","사직3동 방면 사직역","",
"482","민방위대피시설","11_46_02_P","3300000","3300000-S200200007","20020430","","01","영업/정상","18","사용중","","","","","","1197","","부산광역시 동래구 명장동 585번지 37호","부산광역시 동래구 충렬사로51번길 21 (명장동, 새천년아파트)","47750","새천년아파트","20191209094838","U","2019-12-11 02:40:00.0","","391005.302875211","191461.442146039","부산광역시 동래구 명장동 585번지 37호","공공시설","새천년아파트","",
"483","민방위대피시설","11_46_02_P","3300000","3300000-S201100002","20110608","","01","영업/정상","18","사용중","","","","","","2698","","부산광역시 동래구 안락동 473번지","부산광역시 동래구 반송로 지하 205 (안락동, 도시철도충렬사역)","47755","지하철 충렬사역","20201217162456","U","2020-12-19 02:40:00.0","","390953.490599376","190967.589593275","부산광역시 동래구 안락동 473번지","공공시설","지하철 충렬사역","",
"484","민방위대피시설","11_46_02_P","3300000","3300000-S200600001","20060614","","01","영업/정상","18","사용중","","","","","","2889","","부산광역시 동래구 안락동 1251번지","부산광역시 동래구 안남로 79 (안락동, 강변뜨란채)","47894","강변뜨란채아파트","20201217161917","U","2020-12-19 02:40:00.0","","391265.368400532","190445.821167748","부산광역시 동래구 안락동 1251번지","공공시설","강변뜨란채아파트","",
"485","민방위대피시설","11_46_02_P","3300000","3300000-S199900009","19991205","","01","영업/정상","18","사용중","","","","","","7377","","부산광역시 동래구 안락동 472번지 57호","부산광역시 동래구 충렬대로 487 (안락동, 안락SK아파트)","47798","안락SK아파트","20201217162627","U","2020-12-19 02:40:00.0","","392235.198208233","190531.622508818","부산광역시 동래구 안락동 472번지 57호","공공시설","안락SK아파트","",
"486","민방위대피시설","11_46_02_P","3300000","3300000-S200600003","20060227","","01","영업/정상","18","사용중","","","","","","2736","","부산광역시 동래구 안락동 1240번지","부산광역시 동래구 연안로 71 (안락뜨란채1단지아파트)","47897","안락뜨란채1단지아파트","20201217162824","U","2020-12-19 02:40:00.0","","391898.470162315","190380.137547019","부산광역시 동래구 안락동 1240번지","공공시설","안락뜨란채1단지아파트","",
"487","민방위대피시설","11_46_02_P","3300000","3300000-S199200023","19921206","","01","영업/정상","18","사용중","","","","","","187","","부산광역시 동래구 명장동 326번지 4호","부산광역시 동래구 명서로 182 (명장동, 명장경동아파트)","47764","경동아파트101동","20201217164912","U","2020-12-19 02:40:00.0","","391328.065336967","191847.114440687","부산광역시 동래구 명장동 326번지 4호","공공시설","경동아파트101동","",
"488","민방위대피시설","11_46_02_P","3300000","3300000-S199200025","19921206","","01","영업/정상","18","사용중","","","","","","462","","부산광역시 동래구 명장동 326번지 4호","부산광역시 동래구 명서로 182 (명장동, 명장경동아파트)","47764","경동아파트103동","20201217165007","U","2020-12-19 02:40:00.0","","391328.065336967","191847.114440687","부산광역시 동래구 명장동 326번지 4호","공공시설","경동아파트103동","",
"489","민방위대피시설","11_46_02_P","3300000","3300000-S199200026","19921206","","01","영업/정상","18","사용중","","","","","","462","","부산광역시 동래구 명장동 326번지 4호","부산광역시 동래구 명서로 182 (명장동, 명장경동아파트)","47764","경동아파트104동","20201217165025","U","2020-12-19 02:40:00.0","","391328.065336967","191847.114440687","부산광역시 동래구 명장동 326번지 4호","공공시설","경동아파트104동","",
"490","민방위대피시설","11_46_02_P","3300000","3300000-S199200027","19921206","","01","영업/정상","18","사용중","","","","","","325","","부산광역시 동래구 명장동 517번지 2호","부산광역시 동래구 시실로 156 (명장동, 동남타워)","47749","동남타워","20201217165106","U","2020-12-19 02:40:00.0","","390953.352682098","192008.748173568","부산광역시 동래구 명장동 517번지 2호","공공시설","동남타워","",
"491","민방위대피시설","11_46_02_P","3300000","3300000-S199300017","19931206","","01","영업/정상","18","사용중","","","","","","1035","","부산광역시 동래구 명장동 25번지 1호","부산광역시 동래구 충렬사로67번길 13 (명장동, 영산무지개타운)","47750","영산무지개타운","20201217165143","U","2020-12-19 02:40:00.0","","391040.73655135","191543.880318097","부산광역시 동래구 명장동 25번지 1호","공공시설","영산무지개타운","",
"492","민방위대피시설","11_46_02_P","3300000","3300000-S198500006","19851205","","01","영업/정상","18","사용중","","","","","","182","","부산광역시 동래구 사직동 588번지 6호","부산광역시 동래구 쇠미로 93 (사직동)","607819","대건아파트","20220426154904","U","2022-04-28 02:40:00.0","","387160.155272595","191169.673076138","부산광역시 동래구 사직동 588번지 6호","공공시설","대건아파트","",
"493","민방위대피시설","11_46_02_P","3300000","3300000-S199900010","19991206","","01","영업/정상","18","사용중","","","","","","1696","","부산광역시 동래구 명장동 461번지 1호","부산광역시 동래구 명장로63번다길 6","607809","일양타운","20201217163852","U","2020-12-19 02:40:00.0","","391719.940428991","191896.793752939","부산광역시 동래구 명장동 461번지 1호","공공시설","일양타운","",
"494","민방위대피시설","11_46_02_P","3300000","3300000-S199600017","19961206","","01","영업/정상","18","사용중","","","","","","1905","","부산광역시 동래구 명장동 63번지 9호","부산광역시 동래구 명장로20번길 90","607808","삼성타운","20201217163140","U","2020-12-19 02:40:00.0","","391202.373979842","191289.345957951","부산광역시 동래구 명장동 63번지 9호","공공시설","삼성타운","",
"495","민방위대피시설","11_46_02_P","3300000","3300000-S199200010","19921205","","01","영업/정상","18","사용중","","","","","","330","","부산광역시 동래구 사직동 632번지 94호","부산광역시 동래구 쇠미로119번길 85 (사직동)","607819","유원아파트","20220426154955","U","2022-04-28 02:40:00.0","","387111.706242301","191370.47546442","부산광역시 동래구 사직동 632번지 94호","공공시설","유원아파트","",
"496","민방위대피시설","11_46_02_P","3300000","3300000-S199600019","19961206","","01","영업/정상","18","사용중","","","","","","1637","","부산광역시 동래구 명장동 26번지 24호","부산광역시 동래구 충렬사로 81 (명장동, 국제파크아파트)","47750","국제파크","20201217165228","U","2020-12-19 02:40:00.0","","391144.33975431","191612.245209047","부산광역시 동래구 명장동 26번지 24호","공공시설","국제파크","",
"497","민방위대피시설","11_46_02_P","3300000","3300000-S199500007","19951205","","01","영업/정상","18","사용중","","","","","","264","","부산광역시 동래구 온천동 1600번지 새온천화신동영아파트","부산광역시 동래구 쇠미로129번길 62-12 (온천동, 새온천화신동영아파트)","47868","새온천화신동영아파트","20201217141805","U","2020-12-19 02:40:00.0","","387522.460942451","191450.032892201","부산광역시 동래구 온천동 1600번지 새온천화신동영아파트","공공시설","새온천화신동영아파트","",
"498","민방위대피시설","11_46_02_P","3300000","3300000-S201700001","20170210","","01","영업/정상","18","사용중","","","","","","3956","","부산광역시 동래구 사직동 614번지 4호","부산광역시 동래구 사직북로 64 (사직동, 사직KCC스위첸)","47861","사직KCC스위첸아파트","20220426155753","U","2022-04-28 02:40:00.0","","387201.105521","190930.913659","부산광역시 동래구 사직동 614번지 4호","공공시설","사직KCC스위첸아파트","",
