"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"13","음반.음악영상물배급업","03_14_02_P","3330000","CDFF3241102012000001","20120916","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 ****-* 동부올림픽타운 ***동","","","뮤직앤스토리(MUSIC & STORY)","20210104150941","I","2021-01-07 00:23:04.0","","394894.708833081","187324.866715106","음반.음악영상물배급업","유통관련업","0","","음반배급업(대표자 연나미 , ), 사업자번호617-33-76835","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"14","음반.음악영상물배급업","03_14_02_P","3330000","CDFF3241102015000002","20150707","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 좌동 ****-* 해운대좌동에스케이허브올리브","","","파티온","20210104150941","I","2021-01-07 00:23:04.0","","398264.638827631","187644.193252441","음반.음악영상물배급업","유통관련업","0","","음악,음반","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"15","음반.음악영상물배급업","03_14_02_P","3330000","CDFF3241102018000003","20180605","","01","영업/정상","13","영업중","","","","","0513330777","","","부산광역시 해운대구 우동 ****-* 부산문화콘텐츠컴플렉스","","","주식회사 펄스","20210104150941","I","2021-01-07 00:23:04.0","","393573.517296519","188018.687138009","음반.음악영상물배급업","유통관련업","0","","음원, 앨범, 온라인 음반, 음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"16","음반.음악영상물배급업","03_14_02_P","3330000","CDFF3241102019000005","20190319","","01","영업/정상","13","영업중","","","","","0517140742","","","부산광역시 해운대구 재송동 ****-* 센텀아이에스타워","","","사단법인 한국문화콘텐츠협회","20210104150941","I","2021-01-07 00:23:04.0","","393561.58646018","188474.665440257","음반.음악영상물배급업","유통관련업","0","","음반 음원 영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"17","음반.음악영상물배급업","03_14_02_P","3350000","CDFF3241102009000001","20090625","","03","폐업","03","폐업","","","","","0515153075","","","부산광역시 금정구 청룡동 **-**","","","스타피아뮤직","20210104144005","I","2021-01-07 00:23:04.0","","390070.944935839","199153.280383391","음반.음악영상물배급업","유통관련업","0","","음반","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"18","음반.음악영상물배급업","03_14_02_P","3350000","CDFF3241102021000002","20210610","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 장전동 ***-*","부산광역시 금정구 장전로 **-* (장전동)","46294","잼머스(Jammers)","20210610180137","I","2021-06-12 00:22:54.0","","389649.943306393","194189.183530559","음반.음악영상물배급업","유통관련업","","","음원유통","","","","근린생활시설","","","","","","","","","","","","","","","","","","","","","","",
"19","음반.음악영상물배급업","03_14_02_P","3350000","CDFF3241102015000002","20150901","","01","영업/정상","13","영업중","","","","","","","","부산광역시 금정구 부곡동 ***-** *층","","","사운드퍼즐","20210104144005","I","2021-01-07 00:23:04.0","","390372.104985414","194592.620689494","음반.음악영상물배급업","유통관련업","0","","음반, 시디, 뮤직비디오","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"20","음반.음악영상물배급업","03_14_02_P","3350000","CDFF3241102019000003","20191211","","01","영업/정상","13","영업중","","","","","0519215031","","","부산광역시 금정구 장전동 ***-**","","","(주)에스오엠프렌즈","20210104144005","I","2021-01-07 00:23:04.0","","389653.123255737","195149.600052536","음반.음악영상물배급업","유통관련업","0","","음원 음반 음악영상물 음악교육영상물 홍보영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"21","음반.음악영상물배급업","03_14_02_P","3370000","CDFF3241102008000001","20080417","","03","폐업","03","폐업","","","","","","","","부산광역시 연제구 연산동 ***-* 뉴그랜드오피스텔","","","(주)지에스피아","20210104150254","I","2021-01-07 00:23:04.0","","389444.436546193","189180.052866007","음반.음악영상물배급업","유통관련업","0","","음반, 음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"22","음반.음악영상물배급업","03_14_02_P","3370000","CDFF3241102008000002","20080917","","01","영업/정상","13","영업중","","","","","0517611228","","","부산광역시 연제구 연산동 ****-*","","","JUDE기획","20210104150311","I","2021-01-07 00:23:04.0","","391901.556450974","188643.098571417","음반.음악영상물배급업","유통관련업","0","","음반,음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"23","음반.음악영상물배급업","03_14_02_P","3370000","CDFF3241102020000003","20201230","","01","영업/정상","13","영업중","","","","","","","","부산광역시 연제구 연산동 ****-*","","","엠엠 스튜디오(MM STUDIO)","20210104150311","I","2021-01-07 00:23:04.0","","390381.518351675","188292.028796087","음반.음악영상물배급업","유통관련업","0","","음원 음반 음악파일 음악영상물 음악영상파일","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
"24","음반.음악영상물배급업","03_14_02_P","3380000","CDFF3241102018000001","20181114","","01","영업/정상","13","영업중","","","","","15881815","","","부산광역시 수영구 남천동 ***-* 남천동대우포르투나","","","에이치엘미디어","20210104150124","I","2021-01-07 00:23:04.0","","392113.31485237","184143.195507523","음반.음악영상물배급업","유통관련업","0","","뮤직비디오, 음원, 음악영상물","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",
