"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","지역구분명","총층수","주변환경명","제작취급품목내용","보험기관명","건물용도명","지상층수","지하층수","객실수","건축연면적","영문상호명","영문상호주소","선박총톤수","선박척수","선박제원","무대면적","좌석수","기념품종류","회의실별동시수용인원","시설면적","놀이기구수내역","놀이시설수","방송시설유무","발전시설유무","의무실유무","안내소유무","기획여행보험시작일자","기획여행보험종료일자","자본금","보험시작일자","보험종료일자","부대시설내역","시설규모",
"1","종합유원시설업","03_07_12_P","3280000","CDFI5271001988000001","19880526","","03","폐업","03","폐업","20080518","","","","405-0043","","606080","부산광역시 영도구 동삼동 산 14-21번지","","","자유랜드","20080528173449","I","2018-08-31 23:59:59.0","","389684.813828656","175494.397527468","허가유원시설업","유원시설업","","","","","","","","","","","","","","","","","","","","18650","고정식8종, 주행식4종, 스포츠관람4종","","Y","Y","Y","Y","","","","","","","18650",
"2","종합유원시설업","03_07_12_P","3280000","CDFI5271002007000001","20070724","20070820","04","취소/말소/만료/정지/중지","30","허가취소","","","","","","","606806","부산광역시 영도구 동삼동 1125번지","부산광역시 영도구 해양로 435-1 (동삼동)","49111","월드카니발 부산","20160225175356","I","2018-08-31 23:59:59.0","","389700.23435700000","177191.87318100000","허가유원시설업","유원시설업","자연녹지지역","","","","","","","","","","","","","","","","","","","66116","","","","","","","","","","","","","66116",
"3","종합유원시설업","03_07_12_P","3380000","CDFI5271002004000001","20040427","","03","폐업","03","폐업","20130719","","","","758-0101","","613827","부산광역시 수영구 민락동 110번지","부산광역시 수영구 광안해변로 361 (민락동)","","(주)미월드","20180525141801","I","2018-08-31 23:59:59.0","","394235.105745946","186248.8856284","허가유원시설업","유원시설업","자연녹지지역","5","아파트지역","","","근린생활시설","3","2","","","","","","","","","","","","38983","대관람차,타뷰랑스,바이킹,다이빙코스터,스피닝코스터,자이로드롭,범퍼카,회전목마, 회전그네,급류타기,미니아스트로,미니바이킹","12","Y","Y","Y","Y","","","","","","","38983",
"4","종합유원시설업","03_07_12_P","3400000","CDFI5271002022000001","20220315","","01","영업/정상","13","영업중","","","","","","","","부산광역시 기장군 기장읍 시랑리 산 46","부산광역시 기장군 기장읍 동부산관광로 34, 롯데월드 어드벤처 부산","46083","롯데월드 어드벤처 부산","20220509130213","U","2022-05-11 02:40:00.0","","401646.70301259","190623.423385646","허가유원시설업","","자연녹지지역","0","기타","","","기타","0","0","0","0","","","0","0","","0","0","","0","0","","0","Y","Y","Y","Y","","","0","","","","0",
