"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"1","온라인음악서비스제공업","03_14_01_P","3370000","CDFF3241042015000001","20151113","","01","영업/정상","13","영업중","","","","","714-7369","","","부산광역시 연제구 거제동 **-*번지","부산광역시 연제구 거제대로 ***, **층 (거제동)","47512","한국정보문화콘텐츠기술원","20151113172740","I","2018-08-31 23:59:59.0","","389200.806587619","190119.772747657","온라인음악서비스제공업","유통관련업","","","www.icct.co.kr","16.53","11","","","","","","","","","","","","","","","","","","","","","","","","",
"2","온라인음악서비스제공업","03_14_01_P","3390000","CDFF3241042009000001","20090219","","01","영업/정상","13","영업중","","","","","329-8500","","","부산광역시 사상구 감전동 ***-*번지 벽산디지털밸리 ****호","부산광역시 사상구 대동로 ***, ****호 (감전동, 벽산디지털밸리)","46981","(주)씨에스비","20111101181539","I","2018-08-31 23:59:59.0","","380909.178507556","185739.851127297","온라인음악서비스제공업","유통관련업","","","www.csb.co.kr","","","","","","","","","","","","","","","","","","","","","","","","","","",
