"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","실험실면적","사업장구분명","영업소면적","위탁업체명","실험실지역코드","실험실우편번호","실험실산","실험실번지","실험실호","실험실통","실험실반","실험실특수주소","실험실특수주소동","실험실특수주소호","실험실도로명주소시군구코드","실험실도로명주소읍면동코드","실험실도로명주소읍면동구분","실험실도로명주소코드","실험실도로명특수주소","실험실도로명주소건물층구분","실험실도로명주소건물본번호","실험실도로명주소건물부번호","실험실도로명주소우편번호","사업자등록번호",
"136","환경전문공사업","09_30_16_P","6260000","626000009200900005","20121031","","03","폐업","Q","폐업","20141103","","","","","","613010","부산광역시 수영구 남천동   7번지 4호","부산광역시 수영구 광남로 42 (남천동)","613813","(주)금양엔지니어링","20141105134126","I","2019-03-23 02:20:03.0","","392381.167898087","185058.798042638","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"137","환경전문공사업","09_30_16_P","6260000","626000009200900006","20090910","","03","폐업","Q","폐업","20100216","","","","","","618230","부산광역시 강서구 지사동   1198번지 12호 이레트윈빌딩 601호","부산광역시 강서구 과학산단2로10번길 6, 601호 (지사동,이레트윈빌딩)","618230","이레씨앤디(주)","20100622164727","I","2019-03-23 02:20:03.0","","366797.989707445","184907.672328","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"138","환경전문공사업","09_30_16_P","6260000","626000009200900007","20100224","","03","폐업","Q","폐업","20100903","","","","","","617801","부산광역시 사상구 감전동   157-3번지","부산광역시 사상구 학감대로222번길 33 (감전동)","617801","(주)신화E앤P","20100903170055","I","2019-03-23 02:20:03.0","","381418.114464917","185373.634699998","","환경전문공사업","63.94","","","","","","","","","","","","","","","","","","","","","",
"139","환경전문공사업","09_30_16_P","6260000","626000009201400001","20140221","","03","폐업","Q","폐업","","","","","","","","","부산광역시 사하구 다산로176번길 58 (장림동)","604842","(주)국제기산","20150302103802","I","2019-03-23 02:20:03.0","","378526.32928800000","176901.70983800000","0","환경전문공사업","399","","","","","","","","","","","","","","","","","","","","","",
"140","환경전문공사업","09_30_16_P","6260000","626000009201400003","20140731","","03","폐업","Q","폐업","20151202","","","","","","","","부산광역시 연제구 종합운동장로 36, 4층 (거제동,정은빌딩)","611807","(주)우람","20151202163207","I","2019-03-23 02:20:03.0","","387971.071067504","190223.740240595","","환경전문공사업","","","","","","","","","","","","","","","","","","","","","","",
"141","환경전문공사업","09_30_16_P","6260000","626000009201300003","20140723","","03","폐업","Q","폐업","20150601","","","","","","","","부산광역시 금정구 중앙대로1793번길 54 (부곡동)","609817","(주)삼호이엔지","20151202163905","I","2019-03-23 02:20:03.0","","390312.615677805","195696.072171492","","환경전문공사업","","","4825011800","621917","1","1046","2","","","","","","","","","","","","","","","",
"142","환경전문공사업","09_30_16_P","6260000","626000009201700002","20190703","","03","폐업","Q","폐업","20191030","","","","","","46201","부산광역시 금정구 청룡동 632-3","부산광역시 금정구 범어사로 423 (청룡동)","46201","주식회사 한국종합플랜트","20200928095224","U","2020-09-30 02:40:00.0","","389635.415888168","199385.436227116","","환경전문공사업","94.39","","","","","","","","","","","","","","","","","","","","","",
"143","환경전문공사업","09_30_16_P","6260000","626000009201900002","20190513","","03","폐업","Q","폐업","20200429","","","","","","46702","부산광역시 강서구 대저1동 444-5","부산광역시 강서구 대저로235번길 55 (대저1동)","46702","신라환경컨설팅(주)","20200928095003","U","2020-09-30 02:40:00.0","","380152.054614803","192635.777699019","","환경전문공사업","","","2644010100","46702","0","444","5","","","","","","26440","2644010100","1","4208256","","0","55","0","46702","",
"144","환경전문공사업","09_30_16_P","6260000","626000009201700007","20190703","","03","폐업","Q","폐업","20191030","","","","","","46201","부산광역시 금정구 청룡동 632-3","부산광역시 금정구 범어사로 423 (청룡동)","46201","주식회사 한국종합플랜트","20200928095258","U","2020-09-30 02:40:00.0","","389635.415888168","199385.436227116","","환경전문공사업","94.39","","","","","","","","","","","","","","","","","","","","","",
"145","환경전문공사업","09_30_16_P","6260000","626000009200600021","20200311","","03","폐업","Q","폐업","20210831","","","","","","613816","부산광역시 수영구 남천1동   345번지 부광빌딩302호","부산광역시 동래구 동래로 84, 2층 201호 (명륜동)","607805","(주)은경이엔지","20220127202403","U","2022-01-29 02:40:00.0","","391824.127485803","184397.064550496","0","환경전문공사업","0","","","","","","","","","","","","","","","","","","","","","",
"146","환경전문공사업","09_30_16_P","6260000","626000009202100002","20210121","","03","폐업","Q","폐업","20211222","","","","","","46729","부산광역시 강서구 생곡동 1594-2","부산광역시 강서구 가달1로 38 (생곡동)","46729","(주)전진엔텍","20211222173111","U","2021-12-24 02:40:00.0","","370618","183697","0","환경전문공사업","959","","","","","","","","","","","","","","","","","","","","","",
