"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","제조구분명","사업장부지용도구분명",
"1","고압가스업","09_28_05_P","3250000","2014325008302100002","20140528","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 중구 중앙대로 2 (중앙동7가)","","롯데쇼핑(주)롯데마트 광복점","20220415111938","U","2022-04-17 02:40:00.0","제조","385590.814676765","179553.867031936","냉동","",
"2","고압가스업","09_28_05_P","3250000","2016325008302100001","20160602","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 중구 해관로 65 (중앙동4가)","","은산산업개발(주)","20160603090138","I","2018-08-31 23:59:59.0","제조","385502.492319657","180297.579330876","냉동","",
"3","고압가스업","09_28_05_P","3250000","2017325008302200001","20171011","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 83-2","부산광역시 중구 중앙대로 110 (중앙동4가)","48938","중부소방서","20200728165745","U","2020-07-30 02:40:00.0","제조","385630.297166724","180557.287846652","충전","기타",
"4","고압가스업","09_28_05_P","3250000","1981325001402200018","19810813","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 85-2","부산광역시 중구 중앙대로116번길 14 (중앙동4가)","","만호제강(주)부산사무소","20160118160752","I","2018-08-31 23:59:59.0","제조","385748.661769682","180596.959392351","냉동","지정되지않음",
"5","고압가스업","09_28_05_P","3250000","1984325001402200021","19840829","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 76","부산광역시 중구 중앙대로 160 (중앙동4가)","","해성산업(주)부산송남빌딩","20160118160715","I","2018-08-31 23:59:59.0","제조","385770.249057193","181062.506282925","냉동","지정되지않음",
"6","고압가스업","09_28_05_P","3250000","1989325001402200013","19891018","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 84-18","부산광역시 중구 충장대로9번길 21-2 (중앙동4가)","","화동빌딩","20160118160621","I","2018-08-31 23:59:59.0","제조","385693.536922345","180596.92435794","냉동","지정되지않음",
"7","고압가스업","09_28_05_P","3250000","2000325001402100006","20000526","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 89-1","부산광역시 중구 중앙대로 94 (중앙동4가)","","(주)하나은행 부산지점","20210412132907","U","2021-04-14 02:40:00.0","제조","385624.468710403","180447.914514374","냉동","지정되지않음",
"8","고압가스업","09_28_05_P","3250000","2006325001402100001","20110207","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 남포동4가 37-1","부산광역시 중구 자갈치해안로 52 (남포동4가)","","부산시설관리공단(자갈치시장)","20200918102818","U","2020-09-20 02:40:00.0","제조","385139.215952094","179403.007901724","냉동","지정되지않음",
"9","고압가스업","09_28_05_P","3250000","2007325005902100003","20090313","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동7가 20-1","부산광역시 중구 중앙대로 2 (중앙동7가)","","롯데쇼핑(주)광복점","20220422091609","U","2022-04-24 02:40:00.0","저장소","385590.814676765","179553.867031936","일반","상업용",
"10","고압가스업","09_28_05_P","3250000","2010325008302200002","20100420","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 89-14","부산광역시 중구 중앙대로 88 (중앙동4가)","","은산기업주식회사","20190808101258","U","2019-08-10 02:40:00.0","제조","385616.660201449","180406.241287734","냉동","",
"11","고압가스업","09_28_05_P","3250000","2010325008302200003","20100729","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 89-1","부산광역시 중구 중앙대로 94 (중앙동4가)","","(주)하나은행부산지점","20210412132754","U","2021-04-14 02:40:00.0","제조","385624.468710403","180447.914514374","냉동","업무용",
"12","고압가스업","09_28_05_P","3250000","2012325008302100001","20120417","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 남포동5가 83-2 남포지하도상가","부산광역시 중구 구덕로 지하 44, 남포지하도상가 (남포동5가)","48953","부산시설공단(남부지하도상가)","20200918102937","U","2020-09-20 02:40:00.0","제조","384956.383057363","179461.744559469","냉동","",
"13","고압가스업","09_28_05_P","3250000","2014325008302100001","20140515","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 중구 중앙대로 2 (중앙동7가)","","롯데쇼핑(주) 롯데마트 광복점","20220415112631","U","2022-04-17 02:40:00.0","제조","385590.814676765","179553.867031936","냉동","",
"14","고압가스업","09_28_05_P","3250000","2019325013302100001","20190516","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 대청동4가 12-9 메리놀병원","","","(재)천주교부산교구 메리놀병원","20210811155916","U","2021-08-13 02:40:00.0","저장소","385203.926916019","180571.713650198","","",
"15","고압가스업","09_28_05_P","3250000","2020325014502200002","20200302","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 15-3","부산광역시 중구 충장대로 24, 부산항연안여객터미널 (중앙동4가)","48940","부산항만공사","20210722134557","U","2021-07-24 02:40:00.0","제조","386032.236798563","180263.270670699","냉동","",
"16","고압가스업","09_28_05_P","3250000","2020325014502100001","20201013","","01","영업/정상","01","영업중","","","","","","","","부산광역시 중구 중앙동4가 79-1 마린센터빌딩","부산광역시 중구 충장대로9번길 52, 마린센터빌딩 (중앙동4가)","48936","전국해상선원노동조합연맹부산","20210720132423","U","2021-07-22 02:40:00.0","제조","385825.756707547","180869.292984843","냉동","",
"17","고압가스업","09_28_05_P","3260000","2005326004902200002","20101224","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 721번지","부산광역시 서구 원양로 71 (암남동)","","사조씨푸드(주)물류센타","20181227110049","I","2018-12-29 02:20:32.0","제조","383218.187027548","175520.650585192","냉동","공업용",
"18","고압가스업","09_28_05_P","3260000","1971326009702100001","19711128","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 689-10","부산광역시 서구 충무대로 226 (남부민동)","49255","우양냉장(주)","20220629131703","U","2022-07-01 02:40:00.0","제조","384598.230905691","178765.667570008","냉동","공업용",
"19","고압가스업","09_28_05_P","3260000","2002326004902100148","19981203","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 740","부산광역시 서구 원양로 147 (암남동)","","동원산업(주) 부산 냉장센터","20200416113518","U","2020-04-18 02:40:00.0","제조","383415.639943426","175962.567924767","냉동","지정되지않음",
"20","고압가스업","09_28_05_P","3260000","2002326004902200003","20110210","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 753","부산광역시 서구 원양로 243 (암남동)","","정일글로벌(주)","20190612154300","I","2019-06-14 02:21:30.0","제조","382929.661199657","176610.193209997","냉동","지정되지않음",
"21","고압가스업","09_28_05_P","3260000","2005326004902100004","20051010","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 721번지","부산광역시 서구 원양로 71 (암남동)","","사조씨푸드(주)물류센타","20200428182341","U","2020-04-30 02:40:00.0","제조","383218.187027548","175520.650585192","냉동","공업용",
"22","고압가스업","09_28_05_P","3260000","2002326004902200008","20020517","","01","영업/정상","01","영업중","","","","20210415","","","","부산광역시 서구 아미동1가 10","","","부산대학교병원(응급센터)","20210415163816","U","2021-04-17 02:40:00.0","제조","","","냉동","지정되지않음",
"23","고압가스업","09_28_05_P","3260000","2002326004902200044","19910219","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 689-4","","","우양냉장(주) 2공장","20181227112734","U","2018-12-29 02:40:00.0","제조","","","냉동","지정되지않음",
"24","고압가스업","09_28_05_P","3260000","2004326004902100001","20040430","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 716번지","부산광역시 서구 원양로 125 (암남동)","","(주)냉장인터불고 제2공장","20200414171720","U","2020-04-16 02:40:00.0","제조","383539.602429996","175767.563913389","냉동","공업용",
"25","고압가스업","09_28_05_P","3260000","2007326006602200003","20070903","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 41-1번지 고신대학교의과대학, 고신대학교복음병원","부산광역시 서구 감천로 262 (암남동)","49267","고신대학교복음병원","20190502134249","U","2019-05-04 02:40:00.0","제조","383733.508238269","177583.561907424","냉동","주거기타",
"26","고압가스업","09_28_05_P","3260000","2008326006602200001","20080822","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 서대신동3가 539","부산광역시 서구 대신로 84 (서대신동3가)","","대한예수교장로회구덕교회","20181227111459","U","2018-12-29 02:40:00.0","제조","383442.750264635","181472.382567411","냉동","지정되지않음",
"27","고압가스업","09_28_05_P","3260000","2010326007002100002","20100514","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 41-1","부산광역시 서구 감천로 262 (암남동)","49267","고신대학교 복음병원","20210624175848","U","2021-06-26 02:40:00.0","저장소","383733.508238269","177583.561907424","","",
"28","고압가스업","09_28_05_P","3260000","2005326004902100001","20050323","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 722-1","부산광역시 서구 원양로 67 (암남동)","","(주)해원냉장","20191211151503","U","2019-12-13 02:40:00.0","제조","383231.541934586","175439.057238153","냉동","공업용",
"29","고압가스업","09_28_05_P","3260000","2005326004902100002","20050518","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 723","부산광역시 서구 원양로 63  (암남동)","","(주)서부물산","20200511162154","U","2020-05-13 02:40:00.0","제조","383174.987768835","175469.439982525","충전","공업용",
"30","고압가스업","09_28_05_P","3260000","2005326004902100003","20050829","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 719번지","부산광역시 서구 원양로 87 (암남동)","","성진수산(주)암남동공장","20190926180310","U","2019-09-28 02:40:00.0","제조","383432.666597016","175569.83981258","냉동","공업기타",
"31","고압가스업","09_28_05_P","3260000","2008326006602200018","20081024","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 689-10번지","부산광역시 서구 충무대로 226 (남부민동)","","우양냉장(주)","20181227111037","U","2018-12-29 02:40:00.0","제조","384598.230905691","178765.667570008","냉동","",
"32","고압가스업","09_28_05_P","3260000","2008326007002200020","20080625","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 295 (암남동)","","(주)동영콜드프라자","20150527095313","I","2018-08-31 23:59:59.0","제조","382821.270533763","177260.504833529","냉동","",
"33","고압가스업","09_28_05_P","3260000","2008326007002200021","20080625","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 295, 1층 101실호","","(주)동영콜드프라자","20150421164018","I","2018-08-31 23:59:59.0","제조","382821.270533763","177260.504833529","냉동","",
"34","고압가스업","09_28_05_P","3260000","2006326006602200002","20061208","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 690-1","","","(주)케이엠","20181227131350","U","2018-12-29 02:40:00.0","제조","","","냉동","공업용",
"35","고압가스업","09_28_05_P","3260000","2008326007002200022","20080625","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 295, 1층 102실호 (암남동)","","(주)동영콜드프라자","20150422101018","I","2018-08-31 23:59:59.0","제조","382821.270533763","177260.504833529","냉동","",
"36","고압가스업","09_28_05_P","3260000","2008326007002200023","20080625","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 295, 1층 105-1호 (암남동)","","(주)동영콜드프라자","20150422102550","I","2018-08-31 23:59:59.0","제조","382821.270533763","177260.504833529","냉동","",
"37","고압가스업","09_28_05_P","3260000","2009326006602100001","20090605","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 아미동1가 10 부산대학병원","","","부산대학교병원 암센터","20181227110658","U","2018-12-29 02:40:00.0","제조","","","냉동","",
"38","고압가스업","09_28_05_P","3260000","2009326007002100001","20100304","","01","영업/정상","01","영업중","","","","","","141","","부산광역시 서구 암남동 665-8","부산광역시 서구 암남공원로 449 (암남동)","","SK종합가스","20191021122824","U","2019-10-23 02:40:00.0","판매","382973.835122998","177266.816244691","","위험시설",
"39","고압가스업","09_28_05_P","3260000","2013326007002100002","20130912","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 147 (암남동)","","동원냉장(주)","20170228142931","I","2018-08-31 23:59:59.0","제조","383415.639943426","175962.567924767","냉동","",
"40","고압가스업","09_28_05_P","3260000","2002326004902100011","19720304","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 충무동1가 41-2","부산광역시 서구 해안새벽시장길 54 (충무동1가)","","금양제빙제2공장","20220325172038","U","2022-03-27 02:40:00.0","제조","384574.309974396","179082.607001451","냉동","지정되지않음",
"41","고압가스업","09_28_05_P","3260000","2002326004902100014","19680624","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 충무대로 214 (남부민동)","","(주)케이엠","20170508173540","I","2018-08-31 23:59:59.0","제조","384560.270958124","178650.41017002","냉동","지정되지않음",
"42","고압가스업","09_28_05_P","3260000","2002326004902100019","19770413","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 692-9","부산광역시 서구 충무대로 166-41 (남부민동)","","동성산업(주)","20191213112608","U","2021-08-20 02:40:00.0","제조","384659.348168433","178242.058375981","냉동","지정되지않음",
"43","고압가스업","09_28_05_P","3260000","2019326009702200001","20190805","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 135-5","","","송도해양레포츠센터","20210408170319","U","2021-04-10 02:40:00.0","제조","383974.011067215","177099.25613887","충전","",
"44","고압가스업","09_28_05_P","3260000","2002326004902100144","19971121","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 753","부산광역시 서구 원양로 243 (암남동)","","정일글로벌(주)","20220428094813","U","2022-04-30 02:40:00.0","제조","382929.661199657","176610.193209997","냉동","지정되지않음",
"45","고압가스업","09_28_05_P","3260000","2002326004902100039","19870207","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 689-5","부산광역시 서구 충무대로 228 (남부민동)","49255","연우냉동(주)","20200121103618","U","2020-01-23 02:40:00.0","제조","384547.941539488","178763.67777175","냉동","지정되지않음",
"46","고압가스업","09_28_05_P","3260000","2002326004902100041","19880919","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 523-29","부산광역시 서구 충무대로 146 (남부민동)","","희창물산(주)","20200225140126","U","2020-02-27 02:40:00.0","제조","384662.733119919","177932.005072506","냉동","지정되지않음",
"47","고압가스업","09_28_05_P","3260000","2002326004902100043","19891031","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 656","부산광역시 서구 암남공원로 435 (암남동)","49273","(주)대주","20191213112533","U","2021-08-20 02:40:00.0","제조","383026.567570943","177108.256857365","냉동","지정되지않음",
"48","고압가스업","09_28_05_P","3260000","2002326004902100076","19850305","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 692-13","부산광역시 서구 충무대로 170 (남부민동)","","(주)사조대림 부산공장","20211216113841","U","2021-12-18 02:40:00.0","제조","384642.644706366","178184.497144815","냉동","지정되지않음",
"49","고압가스업","09_28_05_P","3260000","2002326004902100095","19790831","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 692-2","부산광역시 서구 충무대로 166-47 (남부민동)","49255","(주)경해냉장지점","20210427113926","U","2021-04-29 02:40:00.0","제조","384655.612347031","178275.583812646","냉동","지정되지않음",
"50","고압가스업","09_28_05_P","3260000","2002326004902200004","19980609","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 739","부산광역시 서구 원양로 171 (암남동)","","(주)동남","20191213112055","U","2021-08-20 02:40:00.0","제조","383295.414372254","175993.708593444","냉동","지정되지않음",
"51","고압가스업","09_28_05_P","3260000","2002326004902100143","19950516","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 671-5","부산광역시 서구 암남공원로 463 (암남동)","","시원물산(주)","20120514093820","I","2018-08-31 23:59:59.0","제조","382936.570800237","177382.64323","냉동","지정되지않음",
"52","고압가스업","09_28_05_P","3260000","2002326004902100142","19810713","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 693-2","","","모피코냉장(주)부산공장","20191213112649","U","2021-08-20 02:40:00.0","제조","","","냉동","지정되지않음",
"53","고압가스업","09_28_05_P","3260000","2002326004902100145","19971015","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 714","부산광역시 서구 원양로 139 (암남동)","","보성냉장(주)","20211228095341","U","2021-12-30 02:40:00.0","제조","383525.438764366","175857.138866271","냉동","지정되지않음",
"54","고압가스업","09_28_05_P","3260000","2002326004902100146","19980731","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 717","부산광역시 서구 원양로 119 (암남동)","","수협중앙회 감천항물류센터","20220124130729","U","2022-01-26 02:40:00.0","제조","383533.518326829","175685.538391763","냉동","지정되지않음",
"55","고압가스업","09_28_05_P","3260000","2002326004902100147","20100107","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 739번지","부산광역시 서구 원양로 171 (암남동)","","(주)동남","20141111163704","I","2018-08-31 23:59:59.0","제조","383295.414372254","175993.708593444","냉동","지정되지않음",
"56","고압가스업","09_28_05_P","3260000","2006326004902100001","20060209","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 625-29","","","명성종합가스","20120727100942","I","2018-08-31 23:59:59.0","저장소","383526.063689636","175983.557799749","일반","공업용",
"57","고압가스업","09_28_05_P","3260000","2007326006602100002","20070817","","01","영업/정상","01","영업중","","","","20070813","","","","부산광역시 서구 암남동 720-1","부산광역시 서구 원양로 79 (암남동)","","사조씨푸드(주)제2물류센타","20200501133602","U","2020-05-03 02:40:00.0","제조","383352.48975355","175555.500913879","냉동","공업용",
"58","고압가스업","09_28_05_P","3260000","2007326006602100003","20070904","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 720","부산광역시 서구 원양로 73 (암남동)","","(주)보림로지스틱스","20200828143436","U","2020-08-30 02:40:00.0","제조","383286.815574731","175544.19235211","냉동","공업용",
"59","고압가스업","09_28_05_P","3260000","2007326006602100004","20070319","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 761","부산광역시 서구 원양로 35 (암남동)","","부산감천항수산물시장(주)","20211111171359","U","2021-11-13 02:40:00.0","제조","383370.080547194","175140.099221406","냉동","공업용",
"60","고압가스업","09_28_05_P","3260000","2007326006602100006","20070531","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 원양로 189 (암남동)","","(주)이스턴웰스","20200730155710","U","2020-08-01 02:40:00.0","제조","383161.450356655","176183.105551719","냉동","공업용",
"61","고압가스업","09_28_05_P","3260000","2007326006602200001","20101224","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 721번지","부산광역시 서구 원양로 71 (암남동)","","사조씨푸드(주)물류센타","20130411192834","I","2018-08-31 23:59:59.0","제조","383218.187027548","175520.650585192","냉동","공업용",
"62","고압가스업","09_28_05_P","3260000","2011326007002100001","20111209","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 동대신동3가 1-22","부산광역시 서구 대신공원로 26 (동대신동3가)","","동아대학교의료원","20200818113038","U","2020-08-20 02:40:00.0","저장소","383898.91114891","182014.846889314","","기타",
"63","고압가스업","09_28_05_P","3260000","2013326007002200001","20130220","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 721","부산광역시 서구 원양로 71 (암남동)","49273","사조씨푸드(주)물류센타","20200501135557","U","2020-05-03 02:40:00.0","제조","383218.187027548","175520.650585192","냉동","공업용",
"64","고압가스업","09_28_05_P","3260000","2015326007002100002","20150902","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 722-1","부산광역시 서구 원양로 67 (암남동)","","(주)그린푸드","20180810142801","I","2018-08-31 23:59:59.0","제조","383231.541934586","175439.057238153","냉동","",
"65","고압가스업","09_28_05_P","3260000","2002326004902100017","19770706","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 691-3","부산광역시 서구 충무대로 202 (남부민동)","","부산공동어시장 조합공동사업법인","20191213112154","U","2021-08-20 02:40:00.0","제조","384608.889131401","178471.926143109","냉동","지정되지않음",
"66","고압가스업","09_28_05_P","3260000","2018326009702200005","20180524","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 691-4 충무소방파출소","","","중부소방서 충무119안전센터","20180703173828","I","2018-08-31 23:59:59.0","제조","384582.851224471","178322.551680991","충전","",
"67","고압가스업","09_28_05_P","3260000","2002326004902100020","19840911","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 171-20","부산광역시 서구 송도해변로 197 (암남동)","49269","고려냉장(주)","20200304100518","U","2020-03-06 02:40:00.0","제조","384361.741429787","177381.420067792","냉동","지정되지않음",
"68","고압가스업","09_28_05_P","3260000","2016326007002200002","20161118","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 충무대로 140 (남부민동)","49264","동양섬유(주) 송도지점","20180628111215","I","2018-08-31 23:59:59.0","제조","384664.43085616","177871.739308163","냉동","",
"69","고압가스업","09_28_05_P","3260000","2017326009702100001","20170504","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 41-1","부산광역시 서구 감천로 262 (암남동)","49267","고신대학교복음병원","20210624175835","U","2021-06-26 02:40:00.0","제조","383733.508238269","177583.561907424","냉동","",
"70","고압가스업","09_28_05_P","3260000","2018326009702200004","20180108","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 633-22번지","부산광역시 서구 원양로 214 (암남동)","49273","고려냉장(주)감천부두냉동공장","20181227130507","U","2018-12-29 02:40:00.0","제조","","","냉동","",
"71","고압가스업","09_28_05_P","3260000","2016326007002200001","20160225","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 아미동1가 10-1","","","부산대학교병원","20181226095804","U","2018-12-28 02:40:00.0","제조","384030.498741004","179806.024724594","냉동","",
"72","고압가스업","09_28_05_P","3260000","2015326007002200001","20150420","","01","영업/정상","01","영업중","","","","","","","","","부산광역시 서구 구덕로 179 (아미동1가)","","부산대학교병원","20200120123858","I","2020-01-22 00:23:24.0","제조","384030.498741004","179806.024724594","냉동","",
"73","고압가스업","09_28_05_P","3260000","2002326004902100024","19731201","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 152-4","부산광역시 서구 천마로 127 (남부민동)","","(주)영남티지이","20160613111233","I","2018-08-31 23:59:59.0","판매","384445.931948852","178332.354870037","일반","지정되지않음",
"74","고압가스업","09_28_05_P","3260000","2002326004902100025","19760415","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 692-11","부산광역시 서구 충무대로 174 (남부민동)","","세동상사","20191213112247","U","2021-08-20 02:40:00.0","제조","384604.386093079","178235.228464934","냉동","지정되지않음",
"75","고압가스업","09_28_05_P","3260000","2002326004902100028","20010310","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 736","부산광역시 서구 원양로 179 (암남동)","","아시아냉장(주)","20190319185213","U","2019-03-21 02:40:00.0","제조","383191.901164603","176135.554385135","냉동","지정되지않음",
"76","고압가스업","09_28_05_P","3260000","2002326004902100029","20010404","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 737","부산광역시 서구 원양로 175 (암남동)","49273","유림냉장(주)","20200716111817","U","2020-07-18 02:40:00.0","제조","383221.905476294","176086.20567946","냉동","지정되지않음",
"77","고압가스업","09_28_05_P","3260000","2002326004902100030","20020304","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 토성동1가 29","부산광역시 서구 보수대로 21 (토성동1가)","","한국전력공사남부건설처","20191213112405","U","2021-08-20 02:40:00.0","제조","384476.52819061","179602.433463754","냉동","지정되지않음",
"78","고압가스업","09_28_05_P","3260000","2002326004902100036","19860502","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 523-45","부산광역시 서구 등대로 117 (남부민동)","","신아냉동(주)","20210430092358","U","2021-05-02 02:40:00.0","제조","384707.873718287","178063.616421944","냉동","지정되지않음",
"79","고압가스업","09_28_05_P","3260000","2002326004902100038","19860816","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 남부민동 523-37","부산광역시 서구 등대로 123-0 (남부민동)","","(주)우신냉장","20160104144421","I","2018-08-31 23:59:59.0","제조","384684.363119167","178002.453600338","냉동","지정되지않음",
"80","고압가스업","09_28_05_P","3260000","2020326009702100001","20200511","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 동대신동3가 1-22","","","동아대학교의료원","20200710152503","U","2020-07-12 02:40:00.0","제조","383898.91114891","182014.846889314","냉동","",
"81","고압가스업","09_28_05_P","3260000","2021326009702200003","20211006","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 123-15 [가설]힐스테이트 내 임시 식당","부산광역시 서구 송도해변로 202, [가설]힐스테이트 내 임시 식당 (암남동)","49264","주식회사 아이제이동수","20211006112003","I","2021-10-08 00:22:47.0","제조","384495.066651637","177326.029548321","냉동","",
"82","고압가스업","09_28_05_P","3260000","2008326006602200017","20080625","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 705","부산광역시 서구 원양로 295 (암남동)","","(주)동영콜드프라자","20191213103242","I","2021-08-20 00:22:50.0","제조","382821.270533763","177260.504833529","냉동","",
"83","고압가스업","09_28_05_P","3260000","2021326009702200002","20210614","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 716","","","(주)냉장인터불고 제2공장","20220531132322","U","2022-06-04 02:40:00.0","제조","383539.602429996","175767.563913389","냉동","",
"84","고압가스업","09_28_05_P","3260000","2007326006602100005","20070412","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 761","부산광역시 서구 원양로 35 (암남동)","","부산광역시 국제수산물유통시설관리사업소","20210601151912","I","2021-06-03 00:23:05.0","제조","383370.080547194","175140.099221406","냉동","공업용",
"85","고압가스업","09_28_05_P","3260000","2018326009702200002","20180108","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 633-22번지","부산광역시 서구 원양로 214 (암남동)","49273","고려냉장(주)감천부두냉동공장","20180907130633","U","2018-09-07 23:59:59.0","제조","","","냉동","",
"86","고압가스업","09_28_05_P","3260000","2021326009702200001","20210421","","01","영업/정상","01","영업중","","","","","","","","부산광역시 서구 암남동 135-5","","","송도해양레포츠센터","20210429161510","U","2021-05-01 02:40:00.0","제조","383974.011067215","177099.25613887","충전","",
"87","고압가스업","09_28_05_P","3270000","1990327001402200026","19900809","","01","영업/정상","01","영업중","","","","","","","","부산광역시 동구 초량동 1146-7","부산광역시 동구 중앙대로 289  (초량동)","","세진선박(해봉빌딩)","20020705000000","I","2018-08-31 23:59:59.0","제조","386198.912596505","182298.559966434","냉동","지정되지않음",
"88","고압가스업","09_28_05_P","3270000","1992327001402200031","19921013","","01","영업/정상","01","영업중","","","","","","","","부산광역시 동구 좌천동 1116-1","부산광역시 동구 충장대로 351  (좌천동)","","부산지방해양수산청","20020705000000","I","2018-08-31 23:59:59.0","제조","387403.997097091","183062.314884828","냉동","지정되지않음",
"89","고압가스업","09_28_05_P","3270000","1993327001402100033","20090520","","01","영업/정상","01","영업중","","","","","","","","부산광역시 동구 범일동 252-135","부산광역시 동구 충장대로 367 (범일동)","","(주)대빙고","20170512113931","I","2018-08-31 23:59:59.0","제조","387583.355804864","183170.526466983","냉동","지정되지않음",
